name,geoid,quad,lon,lat,pop,density,age_median,hh_income_median,percent_own,rent_1br_median,rent_perc_income,division
New York,35620,NE,-74.10105570561859,40.768770318020096,20.011812,1051.3064674555676,42.9,86445,55.3,1430,31,Middle Atlantic
Los Angeles,31080,W,-118.1487215689162,34.219405716738684,13.202558,1040.6472811000378,41.6,81652,51.3,1468,33.6,Pacific
Chicago,16980,NC,-87.95881973164443,41.70060516046628,9.607711,508.62940568377377,41.9,78790,68.9,1060,29,East North Central
Dallas,19100,S,-96.97050780978928,32.84947968570761,7.54334,323.1814035995303,41.3,76916,64.1,1106,29.1,West South Central
Houston,26420,S,-95.40157389770467,29.78708316635632,7.048954,316.5435135006062,41,72551,65.1,997,30,West South Central
Washington,47900,S,-77.51307477160977,38.812483836818316,6.332069,363.73268864646764,42.4,111252,67.4,1601,28.8,South Atlantic
Philadelphia,37980,NE,-75.30263491667849,39.90521296481641,6.215222,506.06813036177755,42.6,79070,71.1,1083,30,Middle Atlantic
Miami,33100,S,-80.50630736521515,26.15536900531196,6.105897,430.1031618191652,43.9,62870,60.8,1230,36.8,South Atlantic
Atlanta,12060,S,-84.39956676469873,33.691787081105744,6.026734,263.27582111238434,41.9,75267,67.3,1181,30.3,South Atlantic
Boston,14460,NE,-71.0999121719376,42.555193833166065,4.91203,517.8277024367719,42.2,99039,66.4,1390,29.5,New England
Phoenix,38060,W,-112.06902711248512,33.18617290535752,4.787811,126.55895467293765,40.7,72211,66.5,1065,29.3,Mountain
San Francisco,41860,W,-122.16618186731473,37.78076545300892,4.725584,712.9927718261234,41.9,118547,58.4,1940,28.3,Pacific
Riverside,40140,W,-116.12748841202651,34.54983582278262,4.580402,64.5119738014707,40.2,73424,65.2,1120,34,Pacific
Detroit,19820,NC,-83.23399162751443,42.71866002941215,4.382832,421.5674199942187,42.9,66878,73.1,811,29.4,East North Central
Seattle,42660,W,-121.85307226995684,47.554512065346685,3.971125,256.18998928529595,40.6,97675,64.7,1478,29.1,Pacific
Minneapolis,33460,NC,-93.27393306343242,45.10134471386687,3.659156,188.29744754063586,41.6,87397,75,1035,28.5,West North Central
