name,geoid,pop,per,time_min,time_max
New York,35620,20.011812,3.43,0,5
New York,35620,20.011812,2.97,5,5.5
New York,35620,20.011812,3.32,5.5,6
New York,35620,20.011812,7.66,6,6.5
New York,35620,20.011812,7.72,6.5,7
New York,35620,20.011812,14.4,7,7.5
New York,35620,20.011812,10.74,7.5,8
New York,35620,20.011812,15.69,8,8.5
New York,35620,20.011812,7.97,8.5,9
New York,35620,20.011812,9.56,9,10
New York,35620,20.011812,3.63,10,11
New York,35620,20.011812,1.59,11,12
New York,35620,20.011812,6.15,12,16
New York,35620,20.011812,5.17,4,24
Los Angeles,31080,13.202558,5.99,0,5
Los Angeles,31080,13.202558,4.49,5,5.5
Los Angeles,31080,13.202558,4.23,5.5,6
Los Angeles,31080,13.202558,8.51,6,6.5
Los Angeles,31080,13.202558,7.39,6.5,7
Los Angeles,31080,13.202558,13.7,7,7.5
Los Angeles,31080,13.202558,9.35,7.5,8
Los Angeles,31080,13.202558,13.07,8,8.5
Los Angeles,31080,13.202558,6.18,8.5,9
Los Angeles,31080,13.202558,9.39,9,10
Los Angeles,31080,13.202558,4.01,10,11
Los Angeles,31080,13.202558,1.67,11,12
Los Angeles,31080,13.202558,6.57,12,16
Los Angeles,31080,13.202558,5.46,4,24
Chicago,16980,9.607711,5.35,0,5
Chicago,16980,9.607711,4.52,5,5.5
Chicago,16980,9.607711,4.75,5.5,6
Chicago,16980,9.607711,9.65,6,6.5
Chicago,16980,9.607711,9.16,6.5,7
Chicago,16980,9.607711,14.52,7,7.5
Chicago,16980,9.607711,10.43,7.5,8
Chicago,16980,9.607711,11.56,8,8.5
Chicago,16980,9.607711,5.45,8.5,9
Chicago,16980,9.607711,6.28,9,10
Chicago,16980,9.607711,2.91,10,11
Chicago,16980,9.607711,1.44,11,12
Chicago,16980,9.607711,7.68,12,16
Chicago,16980,9.607711,6.3,4,24
Dallas,19100,7.54334,4.58,0,5
Dallas,19100,7.54334,4.25,5,5.5
Dallas,19100,7.54334,5,5.5,6
Dallas,19100,7.54334,9.42,6,6.5
Dallas,19100,7.54334,9.23,6.5,7
Dallas,19100,7.54334,15.52,7,7.5
Dallas,19100,7.54334,11.51,7.5,8
Dallas,19100,7.54334,11.61,8,8.5
Dallas,19100,7.54334,5.33,8.5,9
Dallas,19100,7.54334,6.9,9,10
Dallas,19100,7.54334,3.06,10,11
Dallas,19100,7.54334,1.26,11,12
Dallas,19100,7.54334,5.87,12,16
Dallas,19100,7.54334,6.45,4,24
Houston,26420,7.048954,5.69,0,5
Houston,26420,7.048954,5.38,5,5.5
Houston,26420,7.048954,5.57,5.5,6
Houston,26420,7.048954,11.53,6,6.5
Houston,26420,7.048954,9.84,6.5,7
Houston,26420,7.048954,15.51,7,7.5
Houston,26420,7.048954,9.64,7.5,8
Houston,26420,7.048954,10.69,8,8.5
Houston,26420,7.048954,4.5,8.5,9
Houston,26420,7.048954,6.22,9,10
Houston,26420,7.048954,2.85,10,11
Houston,26420,7.048954,1.13,11,12
Houston,26420,7.048954,5.6,12,16
Houston,26420,7.048954,5.84,4,24
Washington,47900,6.332069,4.74,0,5
Washington,47900,6.332069,4.46,5,5.5
Washington,47900,6.332069,4.72,5.5,6
Washington,47900,6.332069,8.86,6,6.5
Washington,47900,6.332069,8.19,6.5,7
Washington,47900,6.332069,13.36,7,7.5
Washington,47900,6.332069,10.9,7.5,8
Washington,47900,6.332069,13.56,8,8.5
Washington,47900,6.332069,7.77,8.5,9
Washington,47900,6.332069,8.56,9,10
Washington,47900,6.332069,3.34,10,11
Washington,47900,6.332069,1.34,11,12
Washington,47900,6.332069,5.41,12,16
Washington,47900,6.332069,4.78,4,24
Philadelphia,37980,6.215222,3.57,0,5
Philadelphia,37980,6.215222,3.17,5,5.5
Philadelphia,37980,6.215222,4.39,5.5,6
Philadelphia,37980,6.215222,8.72,6,6.5
Philadelphia,37980,6.215222,9.81,6.5,7
Philadelphia,37980,6.215222,14.6,7,7.5
Philadelphia,37980,6.215222,11.98,7.5,8
Philadelphia,37980,6.215222,13.01,8,8.5
Philadelphia,37980,6.215222,6.88,8.5,9
Philadelphia,37980,6.215222,6.82,9,10
Philadelphia,37980,6.215222,2.84,10,11
Philadelphia,37980,6.215222,1.39,11,12
Philadelphia,37980,6.215222,6.52,12,16
Philadelphia,37980,6.215222,6.28,4,24
Miami,33100,6.105897,3.74,0,5
Miami,33100,6.105897,3.12,5,5.5
Miami,33100,6.105897,3.02,5.5,6
Miami,33100,6.105897,8.22,6,6.5
Miami,33100,6.105897,7.58,6.5,7
Miami,33100,6.105897,15.75,7,7.5
Miami,33100,6.105897,9.85,7.5,8
Miami,33100,6.105897,15.75,8,8.5
Miami,33100,6.105897,6.63,8.5,9
Miami,33100,6.105897,9.72,9,10
Miami,33100,6.105897,3.76,10,11
Miami,33100,6.105897,1.5,11,12
Miami,33100,6.105897,5.81,12,16
Miami,33100,6.105897,5.55,4,24
Atlanta,12060,6.026734,4.61,0,5
Atlanta,12060,6.026734,3.7,5,5.5
Atlanta,12060,6.026734,4.57,5.5,6
Atlanta,12060,6.026734,9.66,6,6.5
Atlanta,12060,6.026734,9.21,6.5,7
Atlanta,12060,6.026734,14.97,7,7.5
Atlanta,12060,6.026734,10.47,7.5,8
Atlanta,12060,6.026734,12.28,8,8.5
Atlanta,12060,6.026734,5.56,8.5,9
Atlanta,12060,6.026734,7.61,9,10
Atlanta,12060,6.026734,3.19,10,11
Atlanta,12060,6.026734,1.46,11,12
Atlanta,12060,6.026734,6.4,12,16
Atlanta,12060,6.026734,6.31,4,24
Boston,14460,4.91203,3.36,0,5
Boston,14460,4.91203,3.31,5,5.5
Boston,14460,4.91203,4.18,5.5,6
Boston,14460,4.91203,8.39,6,6.5
Boston,14460,4.91203,9.33,6.5,7
Boston,14460,4.91203,14.57,7,7.5
Boston,14460,4.91203,11.9,7.5,8
Boston,14460,4.91203,13.71,8,8.5
Boston,14460,4.91203,7.2,8.5,9
Boston,14460,4.91203,7.8,9,10
Boston,14460,4.91203,3.09,10,11
Boston,14460,4.91203,1.39,11,12
Boston,14460,4.91203,6.79,12,16
Boston,14460,4.91203,4.97,4,24
Phoenix,38060,4.787811,8.43,0,5
Phoenix,38060,4.787811,6.19,5,5.5
Phoenix,38060,4.787811,6.04,5.5,6
Phoenix,38060,4.787811,9.95,6,6.5
Phoenix,38060,4.787811,9.21,6.5,7
Phoenix,38060,4.787811,13.1,7,7.5
Phoenix,38060,4.787811,9.06,7.5,8
Phoenix,38060,4.787811,9.82,8,8.5
Phoenix,38060,4.787811,4.32,8.5,9
Phoenix,38060,4.787811,6.03,9,10
Phoenix,38060,4.787811,2.81,10,11
Phoenix,38060,4.787811,1.47,11,12
Phoenix,38060,4.787811,6.92,12,16
Phoenix,38060,4.787811,6.65,4,24
San Francisco,41860,4.725584,4.09,0,5
San Francisco,41860,4.725584,3.13,5,5.5
San Francisco,41860,4.725584,3.51,5.5,6
San Francisco,41860,4.725584,6.75,6,6.5
San Francisco,41860,4.725584,7.22,6.5,7
San Francisco,41860,4.725584,12.82,7,7.5
San Francisco,41860,4.725584,11.87,7.5,8
San Francisco,41860,4.725584,14.92,8,8.5
San Francisco,41860,4.725584,8.1,8.5,9
San Francisco,41860,4.725584,10.61,9,10
San Francisco,41860,4.725584,4.4,10,11
San Francisco,41860,4.725584,1.83,11,12
San Francisco,41860,4.725584,6.23,12,16
San Francisco,41860,4.725584,4.51,4,24
Riverside,40140,4.580402,11.99,0,5
Riverside,40140,4.580402,6.62,5,5.5
Riverside,40140,4.580402,5.82,5.5,6
Riverside,40140,4.580402,9.7,6,6.5
Riverside,40140,4.580402,8.07,6.5,7
Riverside,40140,4.580402,12.36,7,7.5
Riverside,40140,4.580402,7.62,7.5,8
Riverside,40140,4.580402,9.37,8,8.5
Riverside,40140,4.580402,3.66,8.5,9
Riverside,40140,4.580402,5.45,9,10
Riverside,40140,4.580402,3.07,10,11
Riverside,40140,4.580402,1.63,11,12
Riverside,40140,4.580402,7.7,12,16
Riverside,40140,4.580402,6.96,4,24
Detroit,19820,4.382832,4.71,0,5
Detroit,19820,4.382832,3.84,5,5.5
