name,geoid,pop,car,public_transportation,taxicab,motorcycle,bicycle,walked,other_means,worked_from_home
New York,35620,20.011812,53.51,27.77,0.78,0.05,0.71,5.53,1.06,10.59
Los Angeles,31080,13.202558,80.13,4.07,0.27,0.21,0.61,2.28,1.18,11.25
Chicago,16980,9.607711,74.23,10.03,0.38,0.05,0.61,2.78,1.01,10.91
Dallas,19100,7.54334,85.27,1.04,0.11,0.1,0.14,1.22,0.97,11.15
Houston,26420,7.048954,86.49,1.85,0.14,0.09,0.26,1.18,1.3,8.69
Washington,47900,6.332069,69.21,10.12,0.45,0.11,0.74,2.88,1.09,15.41
Philadelphia,37980,6.215222,75.33,7.87,0.25,0.06,0.6,3.22,0.96,11.71
Miami,33100,6.105897,84.17,2.62,0.47,0.16,0.49,1.46,1.43,9.21
Atlanta,12060,6.026734,81.38,2.39,0.45,0.09,0.15,1.17,1.14,13.22
Boston,14460,4.91203,68.81,10.75,0.32,0.05,0.94,5.05,1.07,13.02
Phoenix,38060,4.787811,81.87,1.44,0.2,0.32,0.56,1.44,1.21,12.97
San Francisco,41860,4.725584,62.01,13.79,0.47,0.39,1.55,4.3,1.21,16.28
Riverside,40140,4.580402,88.18,1.04,0.05,0.27,0.2,1.34,0.99,7.92
Detroit,19820,4.382832,86.86,1.23,0.19,0.05,0.2,1.33,0.8,9.33
Seattle,42660,3.971125,71.53,7.86,0.16,0.21,0.86,3.58,0.86,14.93
Minneapolis,33460,3.659156,79.51,3.64,0.18,0.09,0.64,2.1,0.76,13.09
San Diego,41740,3.296317,79.97,2.43,0.15,0.45,0.54,2.93,1.08,12.46
Tampa,45300,3.146074,83.07,1.02,0.24,0.2,0.54,1.28,1.2,12.44
Denver,19740,2.936665,77.29,3.32,0.14,0.14,0.77,2.11,0.85,15.39
Baltimore,12580,2.837237,79.86,4.98,0.3,0.07,0.25,2.29,1,11.24
St. Louis,41180,2.815627,85.89,1.7,0.07,0.12,0.19,1.55,0.71,9.77
Orlando,36740,2.632721,85.25,1.25,0.29,0.21,0.36,1.07,1.34,10.24
Charlotte,16740,2.625282,83.13,1.28,0.18,0.08,0.09,1.29,0.86,13.09
San Antonio,41700,2.529453,86.34,1.38,0.13,0.1,0.19,1.57,1.18,9.1
Portland,38900,2.493429,74.6,4.96,0.13,0.16,1.72,3.1,0.9,14.42
Sacramento,40900,2.379368,80.84,1.88,0.11,0.29,1.15,1.62,0.97,13.13
Pittsburgh,38300,2.366544,80.36,4.68,0.08,0.1,0.23,2.99,0.8,10.75
Cincinnati,17140,2.244329,86.51,1.43,0.11,0.05,0.16,1.87,0.73,9.13
Austin,12420,2.2343,78.13,1.46,0.13,0.2,0.57,1.83,0.91,16.77
Las Vegas,29820,2.231147,85.91,2.67,0.2,0.27,0.22,1.34,1.98,7.4
Kansas City,28140,2.176124,86.34,0.75,0.13,0.09,0.15,1.12,0.77,10.65
Columbus,18140,2.12248,83.82,1.33,0.1,0.07,0.28,2.02,0.78,11.6
San Juan,41980,2.096657,89.21,1.73,0.18,0.06,0.13,2.54,1.7,4.44
Indianapolis,26900,2.08999,86.86,0.75,0.09,0.08,0.24,1.44,0.69,9.85
Cleveland,17460,2.084462,85.32,2.4,0.17,0.09,0.25,2.07,0.85,8.84
San Jose,41940,1.995351,76.51,3.33,0.23,0.23,1.38,2.13,0.9,15.28
Nashville,34980,1.960999,85.25,0.79,0.14,0.06,0.13,1.19,0.87,11.57
Virginia Beach,47260,1.791198,86.27,1.38,0.21,0.15,0.29,3.07,1.15,7.47
Providence,39300,1.668019,86.13,2.09,0.17,0.04,0.25,2.72,0.81,7.79
Jacksonville,27260,1.58168,85.02,0.95,0.16,0.24,0.41,1.26,1.47,10.48
Milwaukee,33340,1.571784,84.49,2.5,0.15,0.12,0.37,2.28,0.55,9.54
Oklahoma City,36420,1.412874,89.65,0.37,0.1,0.11,0.26,1.63,0.93,6.95
