name,geoid,pop,per,band_min,band_max
New York,35620,20.011812,5.66,0,10000
New York,35620,20.011812,3.97,10000,14999
New York,35620,20.011812,3.27,15000,19999
New York,35620,20.011812,3.31,20000,24999
New York,35620,20.011812,3.2,25000,29999
New York,35620,20.011812,3.12,30000,34999
New York,35620,20.011812,2.92,35000,39999
New York,35620,20.011812,3.06,40000,44999
New York,35620,20.011812,2.66,45000,49999
New York,35620,20.011812,5.63,50000,59999
New York,35620,20.011812,7.71,60000,74999
New York,35620,20.011812,11.23,75000,99999
New York,35620,20.011812,9.37,100000,124999
New York,35620,20.011812,7.36,125000,149999
New York,35620,20.011812,10.34,150000,199999
New York,35620,20.011812,17.17,200000,Inf
Los Angeles,31080,13.202558,5.13,0,10000
Los Angeles,31080,13.202558,3.86,10000,14999
Los Angeles,31080,13.202558,3.07,15000,19999
Los Angeles,31080,13.202558,3.33,20000,24999
Los Angeles,31080,13.202558,3.35,25000,29999
Los Angeles,31080,13.202558,3.42,30000,34999
Los Angeles,31080,13.202558,3.24,35000,39999
Los Angeles,31080,13.202558,3.28,40000,44999
Los Angeles,31080,13.202558,2.93,45000,49999
Los Angeles,31080,13.202558,6.22,50000,59999
Los Angeles,31080,13.202558,8.63,60000,74999
Los Angeles,31080,13.202558,12.34,75000,99999
Los Angeles,31080,13.202558,9.95,100000,124999
Los Angeles,31080,13.202558,7.48,125000,149999
Los Angeles,31080,13.202558,9.69,150000,199999
Los Angeles,31080,13.202558,14.06,200000,Inf
Chicago,16980,9.607711,5.57,0,10000
Chicago,16980,9.607711,3.12,10000,14999
Chicago,16980,9.607711,3.13,15000,19999
Chicago,16980,9.607711,3.52,20000,24999
Chicago,16980,9.607711,3.54,25000,29999
Chicago,16980,9.607711,3.53,30000,34999
Chicago,16980,9.607711,3.27,35000,39999
Chicago,16980,9.607711,3.53,40000,44999
Chicago,16980,9.607711,3.09,45000,49999
Chicago,16980,9.607711,6.5,50000,59999
Chicago,16980,9.607711,9.07,60000,74999
Chicago,16980,9.607711,12.78,75000,99999
Chicago,16980,9.607711,10.25,100000,124999
Chicago,16980,9.607711,7.62,125000,149999
Chicago,16980,9.607711,9.43,150000,199999
Chicago,16980,9.607711,12.05,200000,Inf
Dallas,19100,7.54334,4.28,0,10000
Dallas,19100,7.54334,2.82,10000,14999
Dallas,19100,7.54334,2.74,15000,19999
Dallas,19100,7.54334,3.27,20000,24999
Dallas,19100,7.54334,3.51,25000,29999
Dallas,19100,7.54334,3.86,30000,34999
Dallas,19100,7.54334,3.67,35000,39999
Dallas,19100,7.54334,4.01,40000,44999
Dallas,19100,7.54334,3.46,45000,49999
Dallas,19100,7.54334,7.17,50000,59999
Dallas,19100,7.54334,10.08,60000,74999
Dallas,19100,7.54334,13.28,75000,99999
Dallas,19100,7.54334,10.33,100000,124999
Dallas,19100,7.54334,7.53,125000,149999
Dallas,19100,7.54334,9.01,150000,199999
Dallas,19100,7.54334,10.99,200000,Inf
Houston,26420,7.048954,5.33,0,10000
Houston,26420,7.048954,3.09,10000,14999
Houston,26420,7.048954,3.39,15000,19999
Houston,26420,7.048954,3.71,20000,24999
Houston,26420,7.048954,4.05,25000,29999
Houston,26420,7.048954,4.19,30000,34999
Houston,26420,7.048954,3.76,35000,39999
Houston,26420,7.048954,3.83,40000,44999
Houston,26420,7.048954,3.43,45000,49999
Houston,26420,7.048954,7.22,50000,59999
Houston,26420,7.048954,9.42,60000,74999
Houston,26420,7.048954,12.31,75000,99999
Houston,26420,7.048954,9.4,100000,124999
Houston,26420,7.048954,7.13,125000,149999
Houston,26420,7.048954,8.68,150000,199999
Houston,26420,7.048954,11.07,200000,Inf
Washington,47900,6.332069,3.78,0,10000
Washington,47900,6.332069,1.87,10000,14999
Washington,47900,6.332069,1.78,15000,19999
Washington,47900,6.332069,1.89,20000,24999
Washington,47900,6.332069,2.11,25000,29999
Washington,47900,6.332069,2.25,30000,34999
Washington,47900,6.332069,2.12,35000,39999
Washington,47900,6.332069,2.39,40000,44999
Washington,47900,6.332069,2.26,45000,49999
Washington,47900,6.332069,5.04,50000,59999
Washington,47900,6.332069,7.52,60000,74999
Washington,47900,6.332069,11.96,75000,99999
Washington,47900,6.332069,10.66,100000,124999
Washington,47900,6.332069,8.99,125000,149999
Washington,47900,6.332069,13.41,150000,199999
Washington,47900,6.332069,21.98,200000,Inf
Philadelphia,37980,6.215222,5.66,0,10000
Philadelphia,37980,6.215222,3.57,10000,14999
Philadelphia,37980,6.215222,3.31,15000,19999
Philadelphia,37980,6.215222,3.37,20000,24999
Philadelphia,37980,6.215222,3.5,25000,29999
Philadelphia,37980,6.215222,3.58,30000,34999
Philadelphia,37980,6.215222,3.28,35000,39999
Philadelphia,37980,6.215222,3.37,40000,44999
Philadelphia,37980,6.215222,3.01,45000,49999
Philadelphia,37980,6.215222,6.36,50000,59999
Philadelphia,37980,6.215222,8.79,60000,74999
Philadelphia,37980,6.215222,12.49,75000,99999
Philadelphia,37980,6.215222,9.89,100000,124999
Philadelphia,37980,6.215222,7.4,125000,149999
Philadelphia,37980,6.215222,9.55,150000,199999
Philadelphia,37980,6.215222,12.86,200000,Inf
Miami,33100,6.105897,6.63,0,10000
Miami,33100,6.105897,4.21,10000,14999
Miami,33100,6.105897,4.1,15000,19999
Miami,33100,6.105897,4.4,20000,24999
Miami,33100,6.105897,4.47,25000,29999
Miami,33100,6.105897,4.52,30000,34999
Miami,33100,6.105897,4.15,35000,39999
Miami,33100,6.105897,4.28,40000,44999
Miami,33100,6.105897,3.8,45000,49999
Miami,33100,6.105897,7.56,50000,59999
Miami,33100,6.105897,9.62,60000,74999
Miami,33100,6.105897,12.17,75000,99999
Miami,33100,6.105897,8.71,100000,124999
Miami,33100,6.105897,5.91,125000,149999
Miami,33100,6.105897,6.66,150000,199999
Miami,33100,6.105897,8.81,200000,Inf
Atlanta,12060,6.026734,4.72,0,10000
Atlanta,12060,6.026734,2.87,10000,14999
Atlanta,12060,6.026734,3.06,15000,19999
Atlanta,12060,6.026734,3.41,20000,24999
Atlanta,12060,6.026734,3.67,25000,29999
Atlanta,12060,6.026734,3.82,30000,34999
Atlanta,12060,6.026734,3.77,35000,39999
Atlanta,12060,6.026734,3.88,40000,44999
Atlanta,12060,6.026734,3.44,45000,49999
Atlanta,12060,6.026734,7.25,50000,59999
Atlanta,12060,6.026734,9.95,60000,74999
