geoid,state,prop
35620,NY,0.6483270833289084
35620,NJ,0.3486404584192905
35620,PA,0.0030324582518010926
31080,CA,1
16980,IL,0.9065905299185738
16980,IN,0.07571270790662321
16980,WI,0.017696762174803024
19100,TX,1
26420,TX,1
47900,VA,0.48420377548328675
47900,MD,0.40152731218225185
47900,DC,0.1050747481463594
47900,WV,0.00919416418810204
37980,PA,0.6745691888468845
37980,NJ,0.21719870404840952
37980,DE,0.09158558973473291
37980,MD,0.01664651736997307
33100,FL,1
12060,GA,1
14460,MA,0.9082840984822099
14460,NH,0.09171590151779022
38060,AZ,1
41860,CA,1
40140,CA,1
19820,MI,1
42660,WA,1
33460,MN,0.9629744022398344
33460,WI,0.0370255977601655
41740,CA,1
45300,FL,1
19740,CO,1
12580,MD,1
41180,MO,0.7586710931324949
41180,IL,0.2413289068675051
36740,FL,1
16740,NC,0.8441756554056725
16740,SC,0.15582434459432756
41700,TX,1
38900,OR,0.7916082610957349
38900,WA,0.20839173890426516
40900,CA,1
38300,PA,1
17140,OH,0.7591615762260753
17140,KY,0.20242659698976304
17140,IN,0.03841182678416163
12420,TX,1
29820,NV,1
28140,MO,0.5874341162441163
28140,KS,0.41256588375588366
18140,OH,1
26900,IN,1
17460,OH,1
41940,CA,1
34980,TN,1
47260,VA,0.97179105453039
47260,NC,0.028208945469610013
39300,RI,0.6541821716521158
39300,MA,0.34581782834788416
27260,FL,1
33340,WI,1
36420,OK,1
39580,NC,1
32820,TN,0.7692785794892494
32820,MS,0.19517046114031153
32820,AR,0.03555095937043913
40060,VA,1
31140,KY,0.7886600025228026
31140,IN,0.21133999747719745
35380,LA,1
41620,UT,1
25540,CT,1
15380,NY,1
13820,AL,1
40380,NY,1
24340,MI,1
46060,AZ,1
46520,HI,1
46140,OK,1
23420,CA,1
49340,MA,0.8807033924363044
49340,CT,0.11929660756369564
36540,NE,0.8739796526809691
36540,IA,0.126020347319031
14860,CT,1
24860,SC,1
10740,NM,1
12540,CA,1
10580,NY,1
28940,TN,1
12940,LA,1
32580,TX,1
35300,CT,1
21340,TX,1
10900,PA,0.872961087190218
10900,NJ,0.12703891280978194
37100,CA,1
17900,SC,1
35840,FL,1
19430,OH,1
16700,SC,1
24660,NC,1
44700,CA,1
15980,FL,1
14260,ID,1
17820,CO,1
30780,AR,1
29460,FL,1
10420,OH,1
19780,IA,1
44140,MA,1
39100,NY,1
36260,UT,1
31540,WI,1
49180,NC,1
19660,FL,1
45060,NY,1
39340,UT,1
45780,OH,1
48620,KS,1
20500,NC,1
12260,GA,0.6794410160629993
12260,SC,0.3205589839370008
37340,FL,1
27140,MS,1
25420,PA,1
44060,WA,1
42540,PA,1
16860,TN,0.7302776965181319
16860,GA,0.26972230348186815
33700,CA,1
29540,PA,1
38860,ME,1
49660,OH,0.7955700333000519
49660,PA,0.20442996669994815
29620,MI,1
22220,AR,1
22180,NC,1
30460,KY,1
37860,FL,1
42220,CA,1
39900,NV,1
26620,AL,1
38940,FL,1
29180,LA,1
34820,SC,0.7165095678559193
34820,NC,0.28349043214408065
44180,MO,1
47300,CA,1
28660,TX,1
11700,NC,1
49620,PA,1
46700,CA,1
42200,CA,1
41500,CA,1
41420,OR,1
