state,abb,pop
Alabama,AL,4.997675
Alaska,AK,0.735951
Arizona,AZ,7.079203
Arkansas,AR,3.006309
California,CA,39.455353
Colorado,CO,5.723176
Connecticut,CT,3.60533
Delaware,DE,0.981892
Florida,FL,21.339762
Georgia,GA,10.625615
Hawaii,HI,1.453498
Idaho,ID,1.811617
Illinois,IL,12.821813
Indiana,IN,6.75134
Iowa,IA,3.17909
Kansas,KS,2.932099
Kentucky,KY,4.494141
Louisiana,LA,4.657305
Maine,ME,1.357046
Maryland,MD,6.148545
Massachusetts,MA,6.991852
Michigan,MI,10.062512
Minnesota,MN,5.670472
Mississippi,MS,2.967023
Missouri,MO,6.141534
Montana,MT,1.077978
Nebraska,NE,1.95148
Nevada,NV,3.059238
New Hampshire,NH,1.372175
New Jersey,NJ,9.234024
New Mexico,NM,2.109366
New York,NY,20.114745
North Carolina,NC,10.367022
North Dakota,ND,0.773344
Ohio,OH,11.769923
Oklahoma,OK,3.948136
Oregon,OR,4.207177
Pennsylvania,PA,12.97065
Rhode Island,RI,1.091949
South Carolina,SC,5.078903
South Dakota,SD,0.881785
Tennessee,TN,6.859497
Texas,TX,28.862581
Utah,UT,3.23137
Vermont,VT,0.641637
Virginia,VA,8.582479
Washington,WA,7.617364
West Virginia,WV,1.801049
Wisconsin,WI,5.871661
Wyoming,WY,0.576641
