faa,name,lon,lat,tzone
04G,Lansdowne Airport,-80.6195833,41.1304722,America/New_York
06A,Moton Field Municipal Airport,-85.6800278,32.4605722,America/Chicago
06C,Schaumburg Regional,-88.1012428,41.9893408,America/Chicago
06N,Randall Airport,-74.3915611,41.431912,America/New_York
09J,Jekyll Island Airport,-81.4277778,31.0744722,America/New_York
0A9,Elizabethton Municipal Airport,-82.1734167,36.3712222,America/New_York
0G6,Williams County Airport,-84.5067778,41.4673056,America/New_York
0G7,Finger Lakes Regional Airport,-76.7812318,42.8835647,America/New_York
0P2,Shoestring Aviation Airfield,-76.6471914,39.7948244,America/New_York
0S9,Jefferson County Intl,-122.8106436,48.053808600000004,America/Los_Angeles
0W3,Harford County Airport,-76.2024028,39.5668378,America/New_York
10C,Galt Field Airport,-88.3751111,42.4028889,America/Chicago
17G,Port Bucyrus-Crawford County Airport,-82.9748056,40.7815556,America/New_York
19A,Jackson County Airport,-83.5615972,34.1758638,America/New_York
1A3,Martin Campbell Field Airport,-84.3468333,35.0158056,America/New_York
1B9,Mansfield Municipal,-71.1967714,42.0001331,America/New_York
1C9,Frazier Lake Airpark,-124.76833333333333,54.013333333333335,America/Vancouver
1CS,Clow International Airport,-88.1292306,41.6959744,America/Chicago
1G3,Kent State Airport,-81.4151111,41.1513889,America/New_York
1G4,Grand Canyon West Airport,-113.815674,35.899904,America/Phoenix
1H2,Effingham Memorial Airport,-88.534,39.07,America/Chicago
1OH,Fortman Airport,-84.3866186,40.5553253,America/New_York
1RL,Point Roberts Airpark,-123.0788889,48.9797222,America/Los_Angeles
23M,Clarke CO,-88.4434,32.0517,America/Chicago
24C,Lowell City Airport,-85.3439058,42.95392,America/New_York
24J,Suwannee County Airport,-83.0246944,30.300125,America/New_York
25D,Forest Lake Airport,-92.9943853,45.2477456,America/Chicago
29D,Grove City Airport,-80.16775,41.1460278,America/New_York
2A0,Mark Anton Airport,-84.9310833,35.48625,America/New_York
2B2,Plum Island Airport,-70.8394444,42.7953611,America/New_York
2G2,Jefferson County Airpark,-80.7008742,40.3602179,America/New_York
2G9,Somerset County Airport,-79.0149951,40.0388708,America/New_York
2H0,Shelby County Airport,-88.845556,39.410556,America/Chicago
2J9,Quincy Municipal Airport,-84.557425,30.5978708,America/New_York
369,Atmautluak Airport,-162.273056,60.866667,America/Anchorage
36U,Heber City Municipal Airport,-111.4288056,40.4818056,America/Denver
38W,Lynden Airport,-122.4581183,48.9558961,America/Los_Angeles
3D2,Ephraim-Gibraltar Airport,-87.1879444,45.1354167,America/Chicago
3G3,Wadsworth Municipal,-81.7564401,41.0031572,America/New_York
3G4,Ashland County Airport,-82.2556389,40.9029722,America/New_York
3J1,Ridgeland Airport,-80.99175,32.4934167,America/New_York
3W2,Put-in-Bay Airport,-82.497,41.3521,America/New_York
40J,Perry-Foley Airport,-83.5805833,30.0692778,America/New_York
41N,Braceville Airport,-80.9692572,41.2111675,America/New_York
47A,Cherokee County Airport,-84.4221556,34.3122175,America/New_York
49A,Gilmer County Airport,-84.5265833,34.6282222,America/New_York
49X,Chemehuevi Valley,-114.431971,34.528889,America/Los_Angeles
4A4,Polk County Airport - Cornelius Moore Field,-85.1464722,34.0186944,America/New_York
4A7,Clayton County Tara Field,-84.332397,33.389099,America/New_York
4A9,Isbell Field Airport,-85.7213889,34.4736944,America/Chicago
4B8,Robertson Field,-72.8646944,41.6893333,America/New_York
4G0,Pittsburgh-Monroeville Airport,-79.7749167,40.4526389,America/New_York
4G2,Hamburg Inc Airport,-78.9147569,42.7008925,America/New_York
4G4,Youngstown Elser Metro Airport,-80.6773264,40.9617953,America/New_York
4I7,Putnam County Airport,-86.8138056,39.6335556,America/New_York
4U9,Dell Flight Strip,-112.7200133,44.7357483,America/Denver
52A,Madison GA Municipal Airport,-83.4604444,33.612125,America/New_York
54J,DeFuniak Springs Airport,-86.1537778,30.7311111,America/Chicago
55J,Fernandina Beach Municipal Airport,-81.4611944,30.6118333,America/New_York
55S,Packwood,-121.4067,46.3625,America/Los_Angeles
57C,East Troy Municipal Airport,-88.3726111,42.7971667,America/Chicago
5B2,Saratoga County Airport,-73.861638,43.050722,America/New_York
60J,Ocean Isle Beach Airport,-78.4366722,33.9085056,America/New_York
6A2,Griffin-Spalding County Airport,-84.2749444,33.2269722,America/New_York
6J4,Saluda County,-81.4768,33.5561,America/New_York
6K8,Tok Junction Airport,-142.953611,63.329444,America/Anchorage
6S0,Big Timber Airport,-109.9811111,45.8063889,America/Denver
6S2,Florence,-124.1113687,43.9828168,America/Los_Angeles
6Y8,Welke Airport,-85.520278,45.721111,America/New_York
70J,Cairo-Grady County Airport,-84.1547353,30.8879767,America/New_York
70N,Spring Hill Airport,-75.4158972,41.3473569,America/New_York
7A4,Foster Field,-90.1693889,42.4664444,America/Chicago
7D9,Germack Airport,-80.9039797,41.7778322,America/New_York
7N7,Spitfire Aerodrome,-75.3977211,39.7355633,America/New_York
8M8,Garland Airport,-84.2761944,44.8065278,America/New_York
93C,Richland Airport,-90.2982819,43.2833575,America/Chicago
99N,Bamberg County Airport,-81.1084167,33.3045278,America/New_York
9A1,Covington Municipal Airport,-83.8474472,33.6323083,America/New_York
9A5,Barwick Lafayette Airport,-85.2903319,34.6884792,America/New_York
9G1,Rock Airport,-79.8261189,40.6035463,America/New_York
A39,Phoenix Regional Airport,-111.920997619629,32.99169921875,America/Phoenix
A50,Colorado Springs East,-104.41,38.87,America/Denver
AAF,Apalachicola Regional Airport,-85.0274416,29.7276066,America/New_York
AAP,Andrau Airport,-95.35,29.43,America/Chicago
ABE,Lehigh Valley Intl,-75.440806,40.652083,America/New_York
ABI,Abilene Rgnl,-99.681897,32.411319,America/Chicago
ABL,Ambler Airport,-157.8575,67.106389,America/Anchorage
ABQ,Albuquerque International Sunport,-106.6091944,35.0402222,America/Denver
ABR,Aberdeen Regional Airport,-98.4218,45.4491,America/Chicago
ABY,Southwest Georgia Regional Airport,-84.1945,31.5355,America/New_York
ACJ,Jimmy Carter Regional,-84.1133,32.0665,America/New_York
ACK,Nantucket Mem,-70.060181,41.253053,America/New_York
ACT,Waco Rgnl,-97.230519,31.611289,America/Chicago
ACV,Arcata,-124.108611,40.978111,America/Los_Angeles
ACY,Atlantic City Intl,-74.577167,39.457583,America/New_York
ADK,Adak Airport,-176.646,51.878,America/Anchorage
ADM,Ardmore Muni,-97.008889,34.300833,America/Chicago
ADQ,Kodiak,-152.493856,57.749967,America/Anchorage
ADS,Addison,-96.8364478,32.9685594,America/Chicago
ADW,Andrews Afb,-76.867028,38.810806,America/New_York
AET,Allakaket Airport,-152.6222,66.5519,America/Anchorage
AEX,Alexandria Intl,-92.549833,31.3274,America/Chicago
AFE,Kake Airport,-133.910278,56.961389,America/Anchorage
