city,lat,lon,population,admin_name
Paris,48.8667,2.3333,9904000,Ile-de-France
Lyon,45.77,4.83,1423000,Auvergne-Rhone-Alpes
Marseille,43.29,5.375,1400000,Provence-Alpes-Cote d'Azur
Lille,50.65,3.08,1044000,Hauts-de-France
Nice,43.715,7.265,927000,Provence-Alpes-Cote d'Azur
Toulouse,43.62,1.4499,847000,Occitanie
Bordeaux,44.85,-0.595,803000,Nouvelle-Aquitaine
Rouen,49.4304,1.08,532559,Normandie
Strasbourg,48.58,7.75,439972,Grand Est
Nantes,47.2104,-1.59,438537,Pays de la Loire
Metz,49.1203,6.18,409186,Grand Est
Grenoble,45.1804,5.72,388574,Auvergne-Rhone-Alpes
Toulon,43.1342,5.9188,357693,Provence-Alpes-Cote d'Azur
Montpellier,43.6104,3.87,327254,Occitanie
Nancy,48.6837,6.2,268976,Grand Est
Saint-Etienne,45.4304,4.38,265684,Auvergne-Rhone-Alpes
Melun,48.5333,2.6666,249432,Ile-de-France
Le Havre,49.505,0.105,242124,Normandie
Tours,47.3804,0.6999,236096,Centre-Val de Loire
Clermont-Ferrand,45.78,3.08,233050,Auvergne-Rhone-Alpes
Orleans,47.9004,1.9,217301,Centre-Val de Loire
Mulhouse,47.7504,7.35,215454,Grand Est
Rennes,48.1,-1.67,209375,Bretagne
Reims,49.2504,4.03,196565,Grand Est
Caen,49.1838,-0.35,190099,Normandie
Angers,47.48,-0.53,188380,Pays de la Loire
Dijon,47.3304,5.03,169946,Bourgogne-Franche-Comte
Nimes,43.8304,4.35,169547,Occitanie
Limoges,45.83,1.25,152199,Nouvelle-Aquitaine
Aix-en-Provence,43.52,5.45,146821,Provence-Alpes-Cote d'Azur
Perpignan,42.7,2.9,146620,Occitanie
Biarritz,43.4733,-1.5616,145348,Nouvelle-Aquitaine
Brest,48.3904,-4.495,144899,Bretagne
Le Mans,48.0004,0.1,144515,Pays de la Loire
Amiens,49.9004,2.3,143086,Hauts-de-France
Besancon,47.23,6.03,128426,Bourgogne-Franche-Comte
Annecy,45.9,6.1167,105749,Auvergne-Rhone-Alpes
Calais,50.9504,1.8333,92201,Hauts-de-France
Poitiers,46.5833,0.3333,85960,Nouvelle-Aquitaine
Versailles,48.8005,2.1333,85416,Ile-de-France
Lorient,47.7504,-3.3666,84952,Bretagne
La Rochelle,46.1667,-1.15,76997,Nouvelle-Aquitaine
Roanne,46.0333,4.0667,73315,Auvergne-Rhone-Alpes
Arras,50.2833,2.7833,64165,Hauts-de-France
Troyes,48.3404,4.0834,61703,Grand Est
Cherbourg,49.6504,-1.65,60991,Normandie
Agen,44.2004,0.6333,58223,Nouvelle-Aquitaine
Tarbes,43.2333,0.0833,54854,Occitanie
Ajaccio,41.9271,8.7283,54364,Corsica
Saint-Brieuc,48.5167,-2.7833,53223,Bretagne
Nevers,46.9837,3.1667,45929,Bourgogne-Franche-Comte
Vichy,46.1171,3.4167,43158,Auvergne-Rhone-Alpes
Dieppe,49.9337,1.0833,42461,Normandie
Bastia,42.7032,9.45,41001,Corsica
Beziers,43.3505,3.21,81438,Occitanie
Bourges,47.0837,2.4,72340,Centre-Val de Loire
Brive-la-Gaillarde,45.1504,1.5333,55448,Nouvelle-Aquitaine
Auxerre,47.8004,3.5666,41516,Bourgogne-Franche-Comte
