name,country,city_definition,population,city_pop,city_area,metro_pop,metro_area,urban_pop,urban_area,wiki,country_code2,country_code3,country_name_official,continent,lon,lat,koppen_code,koppen_main,city,num,cost_of_living,cost_rent,cost_groceries,cost_restaurant,local_pp
Tokyo,Japan,Metropolis prefecture,37.4,13.515,2191,37.274,13452,38.505,8223,Tokyo,JP,JPN,Japan,Asia,139.69222222222223,35.689722222222215,Cfa,Temperate,"Tokyo, Japan",18,86.87,38,83.42,56.7,89.7
Delhi,India,National capital territory,28.514,16.753,1484,29,3483,28.125,2240,Delhi,IN,IND,"India, Republic of",Asia,77.23,28.610000000000003,BSh,Dry,"Delhi, India",405,28.18,8.18,26.15,24.76,54.69
Shanghai,China,Municipality,25.582,24.183,6341,NA,NA,22.125,4015,Shanghai,CN,CHN,"China, People's Republic of",Asia,121.47472222222223,31.22861111111111,Cfa,Temperate,"Shanghai, China",235,50.07,35.67,52.5,36.48,54.4
São Paulo,Brazil,Municipality,21.65,12.252,1521,21.735,7947,20.935,3043,Sao_Paulo,BR,BRA,"Brazil, Federative Republic of",South America,-46.63333333333333,-23.55,Cfb,Temperate,"Sao Paulo, Brazil",257,45.52,16.28,33.29,39.7,31.97
Mexico City,Mexico,City-state,21.581,8.919,1485,20.893,7854,20.395,237,Mexico_City,MX,MEX,"Mexico, United Mexican States",North America,-99.13333333333334,19.433333333333334,Cwb,Temperate,"Mexico City, Mexico",317,38.55,20.43,33.75,33.11,42.91
Cairo,Egypt,Urban governorate,20.076,9.5,3085,NA,NA,16.925,1917,Cairo,EG,EGY,"Egypt, Arab Republic of",Africa,31.228888888888886,30.058055555555555,BWh,Dry,"Cairo, Egypt",393,30.94,6.48,26.41,25.43,24.53
Mumbai,India,Municipality,19.98,12.478,603,24.4,4355,23.645,881,Mumbai,IN,IND,"India, Republic of",Asia,72.82583333333334,18.974999999999998,Am,Tropical,"Mumbai, India",399,28.84,21.02,26.86,26.61,41.68
Beijing,China,Municipality,19.618,21.707,16411,NA,NA,19.43,4144,Beijing,CN,CHN,"China, People's Republic of",Asia,116.38333333333334,39.916666666666664,Cwa,Temperate,"Beijing, China",261,44.89,34.97,43.08,35.85,60.72
Dhaka,Bangladesh,Capital city,19.578,14.399,338,14.543,NA,18.595,453,Dhaka,BD,BGD,"Bangladesh, People's Republic of",Asia,90.3888888888889,23.76388888888889,Aw,Tropical,"Dhaka, Bangladesh",370,34.52,5.69,31.58,20.02,33.45
Osaka,Japan,Designated city,19.281,2.725,225,19.303,13228,17.15,3004,Osaka,JP,JPN,Japan,Asia,135.50222222222223,34.693888888888885,Cfa,Temperate,"Osaka, Japan",33,79.54,22.63,77.66,45.48,85.82
New York City,United States,City,18.819,8.399,786,19.304,17315,21.045,11875,New_York_City,US,USA,United States of America,North America,-73.94388888888889,40.66111111111111,Cfa,Temperate,"New York, NY, United States",11,100,100,100,100,100
Karachi,Pakistan,Metropolitan city,15.4,14.91,378,NA,NA,16.9,1036,Karachi,PK,PAK,"Pakistan, Islamic Republic of",Asia,67.01,24.860000000000003,BWh,Dry,"Karachi, Pakistan",436,23.07,4.57,20.03,19.2,29.27
Buenos Aires,Argentina,Autonomous city,14.967,3.054,203,12.807,NA,15.13,3212,Buenos_Aires,AR,ARG,"Argentina, Argentine Republic",South America,-58.38166666666667,-34.60333333333333,Cfa,Temperate,"Buenos Aires, Argentina",367,34.58,9.05,26.95,33.1,46.67
Chongqing,China,Municipality,14.838,30.166,82403,NA,NA,8.3,1489,Chongqing,CN,CHN,"China, People's Republic of",Asia,106.56666666666666,29.558333333333334,Cfa,Temperate,,NA,NA,NA,NA,NA,NA
Istanbul,Turkey,Metropolitan municipality,14.751,15.029,5196,NA,NA,13.86,136,Istanbul,TR,TUR,"Turkey, Republic of",Europe,28.955,41.01361111111111,Csa,Temperate,"Istanbul, Turkey",325,38.01,9.84,32.3,28.3,38.23
Kolkata,India,Municipality,14.681,4.497,205,14.036,1851,15.215,1347,Kolkata,IN,IND,"India, Republic of",Asia,88.36388888888888,22.572499999999998,Aw,Tropical,"Kolkata, India",424,24.37,5.37,23.89,20.1,45.38
Metro_Manila,Philippines,Metropolitan Area,13.482,1.78,43,12.877,620,25.065,1813,Manila,PH,PHL,"Philippines, Republic of the",Asia,120.97722222222222,14.595833333333333,Am,Tropical,"Manila, Philippines",309,38.99,21.33,33.32,25.61,25.14
Lagos,Nigeria,Other,13.463,NA,NA,21,1171,14.63,1943,Lagos,NG,NGA,"Nigeria, Federal Republic of",Africa,3.3841666666666668,6.455,Aw,Tropical,"Lagos, Nigeria",337,36.56,27.07,36.11,28.93,13.28
Rio de Janeiro,Brazil,Municipality,13.293,6.52,1221,12.644,5327,12.07,1917,Rio_de_Janeiro,BR,BRA,"Brazil, Federative Republic of",South America,-43.19638888888888,-22.90833333333333,Am,Tropical,"Rio de Janeiro, Brazil",278,42.7,14.24,31.34,32.9,33.01
Tianjin,China,Municipality,13.215,15.569,1192,NA,NA,13.035,2771,Tianjin,CN,CHN,"China, People's Republic of",Asia,117.18333333333334,39.13333333333333,BSk,Dry,,NA,NA,NA,NA,NA,NA
Kinshasa,DR Congo,City-province,13.171,11.462,9965,NA,NA,12.96,583,Kinshasa,CD,COD,"Congo, Democratic Republic of the",Africa,15.322222222222223,-4.325,Aw,Tropical,,NA,NA,NA,NA,NA,NA
Guangzhou,China,City (sub-provincial),12.638,14.498,7434,NA,NA,20.13,3885,Guangzhou,CN,CHN,"China, People's Republic of",Asia,113.26611111111112,23.131944444444446,Cfa,Temperate,"Guangzhou, China",289,41.26,17.28,42.8,27.95,63.76
Los Angeles,United States,City,12.458,3.99,1214,13.291,12559,15.44,6299,Los_Angeles,US,USA,United States of America,North America,-118.25,34.05,Csb,Temperate,"Los Angeles, CA, United States",50,76.55,72.9,71.23,79.98,113.78
Moscow,Russia,Federal city,12.41,13.2,2511,NA,NA,16.555,5698,Moscow,RU,RUS,Russian Federation,Europe,37.617222222222225,55.755833333333335,Dfb,Continental,"Moscow, Russia",251,47.65,31.39,35.67,48.82,52.28
Shenzhen,China,City (sub-provincial),11.908,12.528,205,NA,NA,13.195,1748,Shenzhen,CN,CHN,"China, People's Republic of",Asia,114.1,22.55,Cwa,Temperate,"Shenzhen, China",268,44.39,24.69,44.37,34.7,64.83
Lahore,Pakistan,Metropolitan city,11.738,11.126,1772,NA,NA,11.545,896,Lahore,PK,PAK,"Pakistan, Islamic Republic of",Asia,74.3436111111111,31.549722222222226,BSh,Dry,"Lahore, Pakistan",431,23.42,4.78,19.66,17.96,28.44
Bangalore,India,Municipality,11.44,8.444,709,NA,NA,11.25,1166,Bangalore,IN,IND,"India, Republic of",Asia,77.58333333333333,12.983333333333333,BSh,Dry,"Bangalore, India",412,27.22,8.89,27.2,20.76,68.14
Paris,France,Commune,10.901,2.148,105,12.245,NA,10.96,2845,Paris,FR,FRA,"France, French Republic",Europe,2.352222222222222,48.85666666666667,Cfb,Temperate,"Paris, France",24,85.16,46.98,78.98,81.35,71.17
Bogotá,Colombia,Capital District,10.574,7.963,1587,NA,NA,10.705,585,Bogota,CO,COL,"Colombia, Republic of",South America,-74.07222222222222,4.711111111111111,Cfb,Temperate,"Bogota, Colombia",379,33.16,12.12,26.13,25,28.87
Jakarta,Indonesia,Special capital region,10.517,10.154,664,33.43,7063,34.365,3367,Jakarta,ID,IDN,"Indonesia, Republic of",Asia,106.81666666666666,-6.2,Af,Tropical,"Jakarta, Indonesia",265,44.48,19.42,45.41,25.06,27.34
Chennai,India,Municipality,10.456,6.727,426,NA,NA,10.56,1049,Chennai,IN,IND,"India, Republic of",Asia,80.26666666666667,13.083333333333334,Aw,Tropical,"Chennai, India",418,25.32,6.59,25.95,15.87,53.06
