major,percentile,earnings
Accounting,1,1.538733
Accounting,2,1.673857
Accounting,3,1.760265
Accounting,4,1.816639
Accounting,5,1.872135
Accounting,6,1.933803
Accounting,7,1.980822
Accounting,8,2.019701
Accounting,9,2.059812
Accounting,10,2.090352
Accounting,11,2.127699
Accounting,12,2.167101
Accounting,13,2.199045
Accounting,14,2.228824
Accounting,15,2.250222
Accounting,16,2.275172
Accounting,17,2.303972
Accounting,18,2.330689
Accounting,19,2.349476
Accounting,20,2.373365
Accounting,21,2.40012
Accounting,22,2.421704
Accounting,23,2.440913
Accounting,24,2.46232
Accounting,25,2.479781
Accounting,26,2.502432
Accounting,27,2.522873
Accounting,28,2.540694
Accounting,29,2.568515
Accounting,30,2.587777
Accounting,31,2.608934
Accounting,32,2.624324
Accounting,33,2.643314
Accounting,34,2.665787
Accounting,35,2.683951
Accounting,36,2.708634
Accounting,37,2.732002
Accounting,38,2.754009
Accounting,39,2.77738
Accounting,40,2.795971
Accounting,41,2.811466
Accounting,42,2.835408
Accounting,43,2.852486
Accounting,44,2.878894
Accounting,45,2.898365
Accounting,46,2.916323
Accounting,47,2.940028
Accounting,48,2.961939
Accounting,49,2.982953
Accounting,50,3.006343
Accounting,51,3.028373
Accounting,52,3.052124
Accounting,53,3.075336
Accounting,54,3.100204
Accounting,55,3.121043
Accounting,56,3.138948
Accounting,57,3.161488
Accounting,58,3.185301
Accounting,59,3.216318
Accounting,60,3.234418
Accounting,61,3.257665
Accounting,62,3.291598
Accounting,63,3.315863
Accounting,64,3.334638
Accounting,65,3.365621
Accounting,66,3.390186
Accounting,67,3.414818
Accounting,68,3.43885
Accounting,69,3.473032
Accounting,70,3.505566
Accounting,71,3.537464
Accounting,72,3.567159
Accounting,73,3.593669
Accounting,74,3.623776
Accounting,75,3.651773
Accounting,76,3.685373
Accounting,77,3.729643
Accounting,78,3.76692
Accounting,79,3.809655
Accounting,80,3.854694
Accounting,81,3.896471
Accounting,82,3.943194
Accounting,83,3.979235
Accounting,84,4.024105
Accounting,85,4.07307
Accounting,86,4.129132
Accounting,87,4.187379
Accounting,88,4.243397
Accounting,89,4.306838
Accounting,90,4.388496
Accounting,91,4.472248
Accounting,92,4.564246
Accounting,93,4.643528
Accounting,94,4.747888
Accounting,95,4.897079
Accounting,96,5.034628
Accounting,97,5.339105
Accounting,98,5.615164
Accounting,99,6.158339
Advertising/Public Relations,1,1.324145
Advertising/Public Relations,2,1.452861
Advertising/Public Relations,3,1.519601
Advertising/Public Relations,4,1.590513
Advertising/Public Relations,5,1.635626
Advertising/Public Relations,6,1.678928
Advertising/Public Relations,7,1.725447
Advertising/Public Relations,8,1.757944
Advertising/Public Relations,9,1.789341
Advertising/Public Relations,10,1.811103
Advertising/Public Relations,11,1.837002
Advertising/Public Relations,12,1.8597
Advertising/Public Relations,13,1.881691
Advertising/Public Relations,14,1.914093
Advertising/Public Relations,15,1.93254
Advertising/Public Relations,16,1.956545
Advertising/Public Relations,17,1.976375
Advertising/Public Relations,18,1.995539
Advertising/Public Relations,19,2.020253
Advertising/Public Relations,20,2.039694
Advertising/Public Relations,21,2.066022
Advertising/Public Relations,22,2.083076
Advertising/Public Relations,23,2.098651
Advertising/Public Relations,24,2.115922
Advertising/Public Relations,25,2.133077
Advertising/Public Relations,26,2.152671
Advertising/Public Relations,27,2.168796
Advertising/Public Relations,28,2.187467
Advertising/Public Relations,29,2.214792
Advertising/Public Relations,30,2.230384
Advertising/Public Relations,31,2.252958
Advertising/Public Relations,32,2.265549
Advertising/Public Relations,33,2.28328
Advertising/Public Relations,34,2.301035
Advertising/Public Relations,35,2.318755
Advertising/Public Relations,36,2.332619
Advertising/Public Relations,37,2.348255
Advertising/Public Relations,38,2.36156
Advertising/Public Relations,39,2.381429
Advertising/Public Relations,40,2.405071
Advertising/Public Relations,41,2.424115
Advertising/Public Relations,42,2.440957
Advertising/Public Relations,43,2.456841
Advertising/Public Relations,44,2.47128
Advertising/Public Relations,45,2.485469
Advertising/Public Relations,46,2.508586
Advertising/Public Relations,47,2.529376
Advertising/Public Relations,48,2.554909
Advertising/Public Relations,49,2.574051
Advertising/Public Relations,50,2.595233
Advertising/Public Relations,51,2.614008
Advertising/Public Relations,52,2.639094
Advertising/Public Relations,53,2.654568
Advertising/Public Relations,54,2.678612
Advertising/Public Relations,55,2.694335
Advertising/Public Relations,56,2.710777
Advertising/Public Relations,57,2.737269
Advertising/Public Relations,58,2.760817
Advertising/Public Relations,59,2.786174
Advertising/Public Relations,60,2.808665
Advertising/Public Relations,61,2.82809
Advertising/Public Relations,62,2.84395
Advertising/Public Relations,63,2.871762
Advertising/Public Relations,64,2.900061
Advertising/Public Relations,65,2.922128
Advertising/Public Relations,66,2.947266
Advertising/Public Relations,67,2.979967
Advertising/Public Relations,68,2.99532
Advertising/Public Relations,69,3.014971
Advertising/Public Relations,70,3.045519
Advertising/Public Relations,71,3.068294
Advertising/Public Relations,72,3.09602
Advertising/Public Relations,73,3.127372
Advertising/Public Relations,74,3.158178
Advertising/Public Relations,75,3.195557
Advertising/Public Relations,76,3.233226
Advertising/Public Relations,77,3.26336
Advertising/Public Relations,78,3.313883
Advertising/Public Relations,79,3.347583
Advertising/Public Relations,80,3.394533
Advertising/Public Relations,81,3.434227
Advertising/Public Relations,82,3.481116
Advertising/Public Relations,83,3.534206
Advertising/Public Relations,84,3.570815
Advertising/Public Relations,85,3.61122
Advertising/Public Relations,86,3.662474
Advertising/Public Relations,87,3.717232
Advertising/Public Relations,88,3.789134
Advertising/Public Relations,89,3.842091
Advertising/Public Relations,90,3.899892
Advertising/Public Relations,91,3.988029
Advertising/Public Relations,92,4.071986
Advertising/Public Relations,93,4.173817
Advertising/Public Relations,94,4.313778
Advertising/Public Relations,95,4.47533
Advertising/Public Relations,96,4.658751
Advertising/Public Relations,97,4.9343070000000004
Advertising/Public Relations,98,5.275761
Advertising/Public Relations,99,5.827614
Aerospace Engineering,1,2.027993
Aerospace Engineering,2,2.156719
Aerospace Engineering,3,2.239833
Aerospace Engineering,4,2.29164
Aerospace Engineering,5,2.337633
Aerospace Engineering,6,2.375993
