student_number,section,title,year_release,budget,box_office,genre,personal_rating
1,1,Arrival,2016,47000000,100500000,Sci-Fi,5
1,1,The Holiday,2006,85000000,205800000,Romance,5
1,1,The Last Samurai,2003,140000000,456800000,Drama,4
2,1,The Social Network,2010,40000000,224900000,Biography,4
2,1,Steve Jobs,2015,30000000,34000000,Biography,4
3,1,Shrek,2001,60000000,487900000,Comedy,5
3,1,Bee Movie,2007,150000000,293500000,Comedy,2
3,1,Citizen Kane,1941,839727,1800000,Drama,5
4,1,Airplane!,1980,35000000,171000000,Tragedy,5
4,1,Dr. Strangelove,1964,1800000,9200000,Comedy,5
4,1,"What's Up, Doc?",1972,4000000,66000000,Comedy,5
5,1,Jaws,1975,9000000,476400000,Thriller,4
5,1,The Shawshank Redemption,1994,25000000,73300000,Drama,5
5,1,The Dark Knight,2008,185000000,1006000000,Action,5
6,1,Kiki's Delivery Service,1989,5000000,418000000,Adventure,4
6,1,Ginger Snaps,2000,4500000,570000,Horror,5
6,1,Whiplash,2014,49000000,3300000,Drama,5
7,1,Dumb and Dumber,1994,17000000,247300000,Comedy,5
7,1,The Avengers,2012,220000000,1519000000,Action,4
7,1,The Hangover,2009,35000000,469300000,Comedy,4.5
8,1,The Hunger Games,2012,78000000,694000000,Action,4
8,1,Spider-Man: No way home,2021,200000000,19120000000,Action,4
8,1,Sing2,2021,85000000,408000000,Comedy,4
9,1,The Lorax,2012,70000000,70217070,Animation,4
9,1,Spectre,2015,250000000,880700000,Spy,3
9,1,Titanic,1997,200000000,2201647264,Drama,4.5
10,1,Queen & Slim,2019,20000000,47900000,Romance,5
10,1,Get Out,2017,4500000,255400000,Horror,5
10,1,Waiting to Exhale,1995,15000000,82000000,Drama,3.5
11,1,Me Before You,2016,20000000,208300000,Romance,4
11,1,Minions: The Rise of Gru,2022,80000000,216900000,Comedy,3
11,1,Slumdog Millionaire,2008,15000000,378100000,Drama,5
12,1,Forrest Gump,1994,55000000,678200000,Drama,3
12,1,Elvis,2022,85000000,284100000,Drama,2
12,1,Return of the Jedi,1983,32500000,475100000,Sci-Fi,4
13,1,Iron Man,2008,140000000,585800000,Action,4.5
13,1,Spider-Man,2002,139000000,825000000,Action,4
13,1,Avengers:Endgame,2019,356000000,2798000000,Action,5
14,1,The Death of Stalin,2017,13000000,24646055,Comedy,5
14,1,American Sniper,2014,58000000,547459020,Action,5
14,1,Footloose,2011,24000000,63543328,Comedy,4
15,1,Morbius,2022,75000000,163900000,Action,2
15,1,The Wailing,2016,8000000,51300000,Horror,5
15,1,Avatar,2009,237000000,2847000000,Sci-Fi,5
16,1,The Princess Bride,1987,16000000,30900000,Adventure,3
16,1,The Emperor's New Groove,2000,100000000,169600000,Comedy,4
16,1,Now You See Me,2013,75000000,351700000,Thriller,5
17,1,My Neighbor Totoro,1988,3700000,41000000,Fantasy,5
17,1,Garfield,2004,50000000,203200000,Comedy,2
17,1,Spirited Away,2001,19000000,395800000,Fantasy,3
18,1,Interstellar,2014,165000000,677400000,Sci-Fi,5
18,1,Butterfly Effect,2004,13000000,96800000,Thriller,3
18,1,Andhadhun,2018,4000000,57000000,Thriller,4
19,1,Sorry to Bother You,2018,3200000,18200000,Sci-Fi,5
19,1,Parasite,2019,15500000,263100000,Thriller,4
19,1,Donnie Brasco,1997,35000000,124900000,Drama,4
20,2,Frozen II,2019,150000000,1450000000,Fantasy,4
20,2,A Man Called Ove,2015,300000,29400000,Comedy,4
20,2,The Shawshank Redemption,1994,25000000,73300000,Drama,4.5
21,2,Inception,2010,160000000,825532764,Sci-Fi,5
21,2,Catch Me If You Can,2002,52000000,352100000,Drama,4
21,2,Shutter Island,2010,80000000,294805697,Thriller,4.5
22,2,Everything Everywhere All At Once,2022,25000000,100800000,Comedy,5
22,2,The Batman,2022,190000000,770800000,Action,4
22,2,The LEGO Movie,2014,65000000,468100000,Comedy,4.5
23,2,Monsters Inc.,2001,115000000,577400000,Comedy,5
23,2,The Lighthouse,2019,11000000,11400000,Thriller,4
23,2,Jurassic Park,1993,63000000,1004600000,Sci-Fi,5
24,2,Eternals,2021,200000000,402100000,Action,2
24,2,Call me by your name,2017,3500000,41900000,Romance,4
24,2,Dune,2021,165000000,401800000,Sci-Fi,5
25,2,Everything Everywhere All at Once,2022,25000000,100800000,Comedy,5
25,2,Love Actually,2003,40000000,246800000,Romance,4.5
25,2,The Curious Case of Benjamin Button,2008,167000000,127500000,Adventure,5
26,2,The Truman Show,1998,60000000,264100000,Sci-Fi,5
26,2,La La Land,2016,30000000,448900000,Comedy,4.5
26,2,The Boss Baby,2017,125000000,528000000,Comedy,5
27,2,The Bad Guys,2022,70000000,247000000,Comedy,5
27,2,Shrek,2001,60000000,487900000,Fantasy,5
27,2,Shrek 2,2004,150000000,928700000,Fantasy,5
28,2,Shrek the Third,2007,160000000,813400000,Fantasy,5
28,2,Spy Kids,2001,35000000,147900000,Action,5
28,2,Spy Kids 2,2002,38000000,119700000,Action,5
29,2,Spy Kids 3-D: Game Over,2003,38000000,1970000000,Action,5
29,2,Farewell My Concubine,1993,53000000,52000000,War,4.8
29,2,The Shawshank Redemption,1994,25000000,73300000,Drama,4.5
30,2,Everything Everywhere All at Once,2022,2500000,100800000,Comedy,4.5
30,2,Five Feet Apart,2019,7000000,91500000,Comedy,4
