year,title,color_type,color,percentage
1970,Love Story,hue,red,2.6356547746208077
1970,Love Story,hue,orange,3.0933561204870754
1970,Love Story,hue,yellow,0.05420850245674002
1970,Love Story,hue,green,0.2360606707968383
1970,Love Story,hue,blue,0.31937620166631064
1970,Love Story,hue,violet,5.340739158299509e-4
1970,Love Story,greyscale,black,10.963736381115147
1970,Love Story,greyscale,grey,6.9082461012604135
1970,Love Story,greyscale,white,75.78882717368084
1970,Love Story,hue,other,0
1970,Airport,hue,red,0.5908087497491471
1970,Airport,hue,orange,4.9897652016857315
1970,Airport,hue,yellow,3.4809017325573612
1970,Airport,hue,green,0.14449127031908487
1970,Airport,hue,blue,39.50551876379691
1970,Airport,hue,violet,0.04495283965482641
1970,Airport,greyscale,black,1.4205632483778179
1970,Airport,greyscale,grey,9.650143822329253
1970,Airport,greyscale,white,40.17285437152987
1970,Airport,hue,other,0
1970,MASH,hue,red,3.9597037037037035
1970,MASH,hue,orange,12.609777777777778
1970,MASH,hue,yellow,51.79481481481481
1970,MASH,hue,green,0.2788148148148148
1970,MASH,hue,blue,0
1970,MASH,hue,violet,0
1970,MASH,greyscale,black,2.580296296296296
1970,MASH,greyscale,grey,1.8491851851851853
1970,MASH,greyscale,white,26.927407407407404
1970,MASH,hue,other,0
1970,Patton,hue,red,13.22306497994297
1970,Patton,hue,orange,0.5496049006814557
1970,Patton,hue,yellow,0.14317819341742788
1970,Patton,hue,green,0.007098496931032817
1970,Patton,hue,blue,7.458934440094728
1970,Patton,hue,violet,1.510318495964429e-4
1970,Patton,greyscale,black,2.5465480160456235
1970,Patton,greyscale,grey,3.008780991735537
1970,Patton,greyscale,white,73.06263894930163
1970,Patton,hue,other,0
1970,The AristoCats,hue,red,8.21000760897134
1970,The AristoCats,hue,orange,3.023370411971448
1970,The AristoCats,hue,yellow,4.257762962426175
1970,The AristoCats,hue,green,0.7537954273705569
1970,The AristoCats,hue,blue,2.7768397405703107
1970,The AristoCats,hue,violet,0.14949817022355882
1970,The AristoCats,greyscale,black,8.906119786948803
1970,The AristoCats,greyscale,grey,6.0354360665241495
1970,The AristoCats,greyscale,white,65.88716982499366
1970,The AristoCats,hue,other,0
1970,Little Big Man,hue,red,2.9719754977029096
