year,title,genre
1970,Love Story,Drama
1970,Love Story,Romance
1970,Airport,Action
1970,Airport,Drama
1970,Airport,Thriller
1970,MASH,Comedy
1970,MASH,Drama
1970,MASH,War
1970,Patton,Biography
1970,Patton,Drama
1970,Patton,War
1970,The AristoCats,Animation
1970,The AristoCats,Adventure
1970,The AristoCats,Comedy
1970,Little Big Man,Adventure
1970,Little Big Man,Comedy
1970,Little Big Man,Drama
1970,Tora! Tora! Tora!,Action
1970,Tora! Tora! Tora!,Drama
1970,Tora! Tora! Tora!,History
1970,Catch-22,Comedy
1970,Catch-22,Drama
1970,Catch-22,War
1970,The Owl and the Pussycat,Comedy
1970,Joe,Drama
1970,Joe,Thriller
1970,Beneath the Planet of the Apes,Action
1970,Beneath the Planet of the Apes,Adventure
1970,Beneath the Planet of the Apes,Sci-Fi
1970,The Boatniks,Family
1970,The Boatniks,Comedy
1970,On a Clear Day You Can See Forever,Comedy
1970,On a Clear Day You Can See Forever,Drama
1970,On a Clear Day You Can See Forever,Fantasy
1970,Two Mules for Sister Sara,Adventure
1970,Two Mules for Sister Sara,Romance
1970,Two Mules for Sister Sara,War
1970,Rio Lobo,Adventure
1970,Rio Lobo,Romance
1970,Rio Lobo,War
1970,Beyond the Valley of the Dolls,Comedy
1970,Beyond the Valley of the Dolls,Drama
1970,Beyond the Valley of the Dolls,Music
1970,Myra Breckinridge,Comedy
1970,The Boys in the Band,Drama
1970,Chisum,Biography
1970,Chisum,Western
1970,They Call Me Mister Tibbs!,Crime
1970,They Call Me Mister Tibbs!,Drama
1970,They Call Me Mister Tibbs!,Mystery
1970,Cotton Comes to Harlem,Action
1970,Cotton Comes to Harlem,Comedy
1970,Cotton Comes to Harlem,Crime
1970,The Out of Towners,Comedy
1970,Five Easy Pieces,Drama
1970,Getting Straight,Comedy
1970,Getting Straight,Drama
1970,Getting Straight,Romance
1970,The Ballad of Cable Hogue,Comedy
1970,The Ballad of Cable Hogue,Drama
1970,The Ballad of Cable Hogue,Romance
1970,The Private Life of Sherlock Holmes,Adventure
1970,The Private Life of Sherlock Holmes,Comedy
1970,The Private Life of Sherlock Holmes,Crime
1970,The Only Game in Town,Comedy
1970,The Only Game in Town,Drama
1970,The Only Game in Town,Romance
1970,The Adventurers,Action
1970,The Adventurers,Adventure
1970,The Adventurers,Drama
1970,Diary of a Mad Housewife,Comedy
1970,Diary of a Mad Housewife,Drama
1970,Darling Lili,Comedy
1970,Darling Lili,Drama
1970,Darling Lili,Musical
1970,The Great White Hope,Drama
1970,The Great White Hope,Romance
1970,The Great White Hope,Sport
1970,A Man Called Horse,Adventure
1970,A Man Called Horse,Drama
1970,A Man Called Horse,Western
1970,The Twelve Chairs,Comedy
1970,Little Fauss and Big Halsy,Drama
1970,Song of Norway,Biography
1970,Song of Norway,Drama
1970,Song of Norway,Musical
1970,Watermelon Man,Comedy
1970,Trash,Drama
1970,Kelly's Heroes,Adventure
1970,Kelly's Heroes,Comedy
1970,Kelly's Heroes,War
1970,...tick... tick... tick...,Drama
1970,...tick... tick... tick...,Action
1970,Where's Poppa?,Comedy
1970,Cromwell,Biography
1970,Cromwell,Drama
1970,Cromwell,History
1970,Zabriskie Point,Drama
1970,The Landlord,Comedy
1970,The Landlord,Drama
1970,The Landlord,Romance
1970,Loving,Comedy
1970,Loving,Drama
1970,The Strawberry Statement,Drama
1970,The Strawberry Statement,Romance
1970,Threesome,Drama
1970,El Condor,Action
1970,El Condor,Adventure
1970,El Condor,Romance
1970,I Never Sang for My Father,Drama
1970,There Was a Crooked Man...,Comedy
1970,There Was a Crooked Man...,Western
1970,Soldier Blue,Western
1971,Billy Jack,Action
1971,Billy Jack,Drama
1971,Billy Jack,Western
1971,Fiddler on the Roof,Drama
1971,Fiddler on the Roof,Family
1971,Fiddler on the Roof,Musical
1971,Dirty Harry,Action
1971,Dirty Harry,Crime
1971,Dirty Harry,Thriller
1971,The Last Picture Show,Drama
1971,The Last Picture Show,Romance
