year,title,role,rank,person,gender,gender_conf
1970,Love Story,director,1,Arthur Hiller,male,0.9937
1970,Love Story,starring,1,Ali MacGraw,male,0.6877
1970,Love Story,starring,2,Ryan O'Neal,male,0.9768
1970,Love Story,starring,3,John Marley,male,0.9961
1970,Love Story,starring,4,Ray Milland,male,0.984
1970,Airport,director,1,George Seaton,male,0.9932
1970,Airport,director,2,Henry Hathaway,male,0.9935
1970,Airport,starring,1,Burt Lancaster,male,1
1970,Airport,starring,2,Dean Martin,male,0.9875
1970,Airport,starring,3,George Kennedy,male,0.9932
1970,Airport,starring,4,Jean Seberg,female,0.9444
1970,M.A.S.H.,director,1,Robert Altman,male,0.9959
1970,M.A.S.H.,starring,1,Donald Sutherland,male,0.9961
1970,M.A.S.H.,starring,2,Elliott Gould,male,0.9441
1970,M.A.S.H.,starring,3,Tom Skerritt,male,0.9969
1970,M.A.S.H.,starring,4,Sally Kellerman,female,0.9971
1970,Patton,director,1,Franklin J. Schaffner,male,0.9942
1970,Patton,starring,1,George C. Scott,male,0.9932
1970,Patton,starring,2,Karl Malden,male,0.9897
1970,Patton,starring,3,Stephen Young,male,0.9964
1970,Patton,starring,4,Michael Strong,male,0.9947
1970,Les aristochats,director,1,Wolfgang Reitherman,male,1
1970,Les aristochats,starring,1,Phil Harris,male,0.9976
1970,Les aristochats,starring,2,Eva Gabor,female,0.9963
1970,Les aristochats,starring,3,Sterling Holloway,male,0.9219
1970,Les aristochats,starring,4,Scatman Crothers,NA,NA
1970,Little Big Man,director,1,Arthur Penn,male,0.9937
1970,Little Big Man,starring,1,Dustin Hoffman,male,0.9928
1970,Little Big Man,starring,2,Faye Dunaway,female,0.995
1970,Little Big Man,starring,3,Chief Dan George,male,1
1970,Little Big Man,starring,4,Martin Balsam,male,0.995
1970,Tora! Tora! Tora!,director,1,Richard Fleischer,male,0.9963
1970,Tora! Tora! Tora!,director,2,Kinji Fukasaku,NA,NA
1970,Tora! Tora! Tora!,director,3,Toshio Masuda,male,1
1970,Tora! Tora! Tora!,starring,1,Martin Balsam,male,0.995
1970,Tora! Tora! Tora!,starring,2,Sô Yamamura,NA,NA
1970,Tora! Tora! Tora!,starring,3,Jason Robards,male,0.9948
1970,Tora! Tora! Tora!,starring,4,Joseph Cotten,male,0.9958
1970,Catch 22,director,1,Mike Nichols,male,0.9966
1970,Catch 22,starring,1,Alan Arkin,male,0.9968
1970,Catch 22,starring,2,Martin Balsam,male,0.995
1970,Catch 22,starring,3,Richard Benjamin,male,0.9963
1970,Catch 22,starring,4,Art Garfunkel,male,1
1970,La chouette et le pussycat,director,1,Herbert Ross,male,0.9947
1970,La chouette et le pussycat,starring,1,Barbra Streisand,female,1
1970,La chouette et le pussycat,starring,2,George Segal,male,0.9932
1970,La chouette et le pussycat,starring,3,Robert Klein,male,0.9959
1970,La chouette et le pussycat,starring,4,Allen Garfield,male,0.9938
1970,Joe,director,1,John G. Avildsen,male,0.9961
1970,Joe,starring,1,Peter Boyle,male,0.9966
1970,Joe,starring,2,Dennis Patrick,male,0.9956
1970,Joe,starring,3,Susan Sarandon,female,0.9978
1970,Joe,starring,4,Patrick McDermott,male,0.9955
1970,Le secret de la planète des singes,director,1,Ted Post,male,0.9978
1970,Le secret de la planète des singes,starring,1,James Franciscus,male,0.9956
1970,Le secret de la planète des singes,starring,2,Kim Hunter,female,0.8454
1970,Le secret de la planète des singes,starring,3,Maurice Evans,male,0.9843
1970,Le secret de la planète des singes,starring,4,Linda Harrison,female,0.9976
1970,Les boatniks - Du vent dans les voiles,director,1,Norman Tokar,male,0.9938
1970,Les boatniks - Du vent dans les voiles,starring,1,Robert Morse,male,0.9959
1970,Les boatniks - Du vent dans les voiles,starring,2,Stefanie Powers,female,0.9989
1970,Les boatniks - Du vent dans les voiles,starring,3,Phil Silvers,male,0.9976
1970,Les boatniks - Du vent dans les voiles,starring,4,Norman Fell,male,0.9938
1970,Melinda,director,1,Vincente Minnelli,male,1
1970,Melinda,starring,1,Barbra Streisand,female,1
1970,Melinda,starring,2,Yves Montand,male,0.9781
1970,Melinda,starring,3,Bob Newhart,male,0.9969
1970,Melinda,starring,4,Larry Blyden,male,0.9954
1970,Sierra torride,director,1,Don Siegel,male,0.9937
1970,Sierra torride,starring,1,Clint Eastwood,male,0.9981
1970,Sierra torride,starring,2,Shirley MacLaine,female,0.9914
1970,Sierra torride,starring,3,Manolo Fábregas,male,1
1970,Sierra torride,starring,4,Alberto Morin,male,0.9927
1970,Rio Lobo,director,1,Howard Hawks,male,0.9955
1970,Rio Lobo,starring,1,John Wayne,male,0.9961
1970,Rio Lobo,starring,2,Jorge Rivero,male,0.994
1970,Rio Lobo,starring,3,Jennifer O'Neill,female,0.9969
1970,Rio Lobo,starring,4,Jack Elam,male,0.9969
1970,Orgissimo,director,1,Russ Meyer,male,1
1970,Orgissimo,starring,1,Dolly Read,female,0.9984
1970,Orgissimo,starring,2,Cynthia Myers,female,0.9974
1970,Orgissimo,starring,3,Marcia McBroom,female,0.9979
1970,Orgissimo,starring,4,John Lazar,male,0.9961
1970,Myra Breckinridge,director,1,Michael Sarne,male,0.9947
1970,Myra Breckinridge,starring,1,Mae West,female,0.9931
1970,Myra Breckinridge,starring,2,John Huston,male,0.9961
1970,Myra Breckinridge,starring,3,Raquel Welch,female,0.9944
1970,Myra Breckinridge,starring,4,Rex Reed,male,0.9975
1970,The Boys in the Band,director,1,William Friedkin,male,0.9962
1970,The Boys in the Band,starring,1,Kenneth Nelson,male,0.9958
1970,The Boys in the Band,starring,2,Peter White,male,0.9966
1970,The Boys in the Band,starring,3,Leonard Frey,male,0.9951
1970,The Boys in the Band,starring,4,Frederick Combs,male,0.9952
1970,Chisum,director,1,Andrew V. McLaglen,male,0.996
1970,Chisum,starring,1,John Wayne,male,0.9961
1970,Chisum,starring,2,Forrest Tucker,male,0.9832
1970,Chisum,starring,3,Christopher George,male,0.995
1970,Chisum,starring,4,Ben Johnson,male,0.996
1970,Appelez-moi Monsieur Tibbs,director,1,Gordon Douglas,male,0.9966
1970,Appelez-moi Monsieur Tibbs,starring,1,Sidney Poitier,male,0.6864
1970,Appelez-moi Monsieur Tibbs,starring,2,Martin Landau,male,0.995
1970,Appelez-moi Monsieur Tibbs,starring,3,Barbara McNair,female,0.9973
1970,Appelez-moi Monsieur Tibbs,starring,4,Anthony Zerbe,male,0.9946
1970,Le casse de l'oncle Tom,director,1,Ossie Davis,female,0.5206
1970,Le casse de l'oncle Tom,starring,1,Godfrey Cambridge,male,1
1970,Le casse de l'oncle Tom,starring,2,Raymond St. Jacques,male,0.9952
1970,Le casse de l'oncle Tom,starring,3,Calvin Lockhart,male,0.9933
1970,Le casse de l'oncle Tom,starring,4,Judy Pace,female,0.9973
1970,Escapade à New York,director,1,Arthur Hiller,male,0.9937
1970,Escapade à New York,starring,1,Jack Lemmon,male,0.9969
1970,Escapade à New York,starring,2,Sandy Dennis,female,0.8956
1970,Escapade à New York,starring,3,Sandy Baron,female,0.8956
1970,Escapade à New York,starring,4,Anne Meara,female,0.9975
1970,Cinq pièces faciles,director,1,Bob Rafelson,male,0.9969
1970,Cinq pièces faciles,starring,1,Jack Nicholson,male,0.9969
1970,Cinq pièces faciles,starring,2,Karen Black,female,0.9974
1970,Cinq pièces faciles,starring,3,Billy Green Bush,male,0.9881
1970,Cinq pièces faciles,starring,4,Fannie Flagg,female,0.9957
1970,Campus ou C.Q.F.D.,director,1,Richard Rush,male,0.9963
1970,Campus ou C.Q.F.D.,starring,1,Elliott Gould,male,0.9441
1970,Campus ou C.Q.F.D.,starring,2,Candice Bergen,female,0.9978
1970,Campus ou C.Q.F.D.,starring,3,Robert F. Lyons,male,0.9959
1970,Campus ou C.Q.F.D.,starring,4,Jeff Corey,male,0.9977
1970,Un nommé Cable Hogue,director,1,Sam Peckinpah,male,0.9872
1970,Un nommé Cable Hogue,starring,1,Jason Robards,male,0.9948
1970,Un nommé Cable Hogue,starring,2,Stella Stevens,female,0.9982
1970,Un nommé Cable Hogue,starring,3,David Warner,male,0.9963
1970,Un nommé Cable Hogue,starring,4,Strother Martin,male,1
1970,La vie privée de Sherlock Holmes,director,1,Billy Wilder,male,0.9881
1970,La vie privée de Sherlock Holmes,starring,1,Robert Stephens,male,0.9959
1970,La vie privée de Sherlock Holmes,starring,2,Christopher Lee,male,0.995
1970,La vie privée de Sherlock Holmes,starring,3,Colin Blakely,male,0.996
1970,La vie privée de Sherlock Holmes,starring,4,Geneviève Page,NA,NA
1970,"Las Vegas, un couple",director,1,George Stevens,male,0.9932
1970,"Las Vegas, un couple",starring,1,Elizabeth Taylor,female,0.9969
1970,"Las Vegas, un couple",starring,2,Warren Beatty,male,0.9953
1970,"Las Vegas, un couple",starring,3,Charles Braswell,male,0.9949
1970,"Las Vegas, un couple",starring,4,Hank Henry,male,1
1970,Les derniers aventuriers,director,1,Lewis Gilbert,male,0.9939
1970,Les derniers aventuriers,starring,1,Charles Aznavour,male,0.9949
1970,Les derniers aventuriers,starring,2,Alan Badel,male,0.9968
1970,Les derniers aventuriers,starring,3,Candice Bergen,female,0.9978
1970,Les derniers aventuriers,starring,4,Thommy Berggren,male,1
1970,Journal intime d'une femme mariée,director,1,Frank Perry,male,0.9953
1970,Journal intime d'une femme mariée,starring,1,Richard Benjamin,male,0.9963
1970,Journal intime d'une femme mariée,starring,2,Frank Langella,male,0.9953
1970,Journal intime d'une femme mariée,starring,3,Carrie Snodgress,female,0.9964
1970,Journal intime d'une femme mariée,starring,4,Lorraine Cullen,female,0.9967
1970,Darling Lili,director,1,Blake Edwards,male,0.9642
1970,Darling Lili,starring,1,Julie Andrews,female,0.9973
1970,Darling Lili,starring,2,Rock Hudson,male,1
1970,Darling Lili,starring,3,Jeremy Kemp,male,0.9943
1970,Darling Lili,starring,4,Lance Percival,male,0.9964
1970,L'insurgé,director,1,Martin Ritt,male,0.995
1970,L'insurgé,starring,1,James Earl Jones,male,0.9956
1970,L'insurgé,starring,2,Jane Alexander,female,0.9971
1970,L'insurgé,starring,3,Lou Gilbert,female,0.9066
1970,L'insurgé,starring,4,Joel Fluellen,male,0.9899
1970,Un homme nommé Cheval,director,1,Elliot Silverstein,male,0.9348
1970,Un homme nommé Cheval,starring,1,Richard Harris,male,0.9963
1970,Un homme nommé Cheval,starring,2,Judith Anderson,female,0.9974
1970,Un homme nommé Cheval,starring,3,Jean Gascon,female,0.9444
1970,Un homme nommé Cheval,starring,4,Manu Tupou,male,0.9886
1970,Le mystère des douze chaises,director,1,Mel Brooks,male,0.9011
1970,Le mystère des douze chaises,starring,1,Mel Brooks,male,0.9011
1970,Le mystère des douze chaises,starring,2,Ron Moody,male,0.9979
1970,Le mystère des douze chaises,starring,3,Frank Langella,male,0.9953
1970,Le mystère des douze chaises,starring,4,Dom DeLuise,male,1
1970,L'ultime randonnée,director,1,Sidney J. Furie,male,0.6864
1970,L'ultime randonnée,starring,1,Robert Redford,male,0.9959
1970,L'ultime randonnée,starring,2,Michael J. Pollard,male,0.9947
1970,L'ultime randonnée,starring,3,Lauren Hutton,female,0.9907
1970,L'ultime randonnée,starring,4,Noah Beery Jr.,male,0.995
1970,Song of Norway,director,1,Andrew L. Stone,male,0.996
1970,Song of Norway,starring,1,Florence Henderson,female,0.9958
1970,Song of Norway,starring,2,Toralv Maurstad,NA,NA
1970,Song of Norway,starring,3,Christina Schollin,female,0.996
1970,Song of Norway,starring,4,Frank Porretta,male,0.9953
1970,Watermelon Man,director,1,Melvin Van Peebles,male,0.9912
1970,Watermelon Man,starring,1,Godfrey Cambridge,male,1
1970,Watermelon Man,starring,2,Estelle Parsons,female,0.9988
1970,Watermelon Man,starring,3,Howard Caine,male,0.9955
1970,Watermelon Man,starring,4,D'Urville Martin,NA,NA
1970,Trash,director,1,Paul Morrissey,male,0.996
1970,Trash,starring,1,Joe Dallesandro,male,0.9745
1970,Trash,starring,2,Holly Woodlawn,female,0.9948
1970,Trash,starring,3,Geri Miller,female,0.9994
1970,Trash,starring,4,Andrea Feldman,female,0.9875
1970,De l'or pour les braves,director,1,Brian G. Hutton,male,0.9958
1970,De l'or pour les braves,starring,1,Clint Eastwood,male,0.9981
1970,De l'or pour les braves,starring,2,Telly Savalas,male,0.9441
1970,De l'or pour les braves,starring,3,Don Rickles,male,0.9937
1970,De l'or pour les braves,starring,4,Carroll O'Connor,male,0.8134
1970,...tick... tick... tick... - Et la violence explosa,director,1,Ralph Nelson,male,0.9958
1970,...tick... tick... tick... - Et la violence explosa,starring,1,Jim Brown,male,0.9966
1970,...tick... tick... tick... - Et la violence explosa,starring,2,George Kennedy,male,0.9932
