start_time,temperature
2021-10-20T14:00:00-05:00,15
2021-10-20T15:00:00-05:00,16
2021-10-20T16:00:00-05:00,17
2021-10-20T17:00:00-05:00,15
2021-10-20T18:00:00-05:00,14
2021-10-20T19:00:00-05:00,13
2021-10-20T20:00:00-05:00,11
2021-10-20T21:00:00-05:00,10
2021-10-20T22:00:00-05:00,9
2021-10-20T23:00:00-05:00,8
2021-10-21T00:00:00-05:00,8
2021-10-21T01:00:00-05:00,7
2021-10-21T02:00:00-05:00,6
2021-10-21T03:00:00-05:00,6
2021-10-21T04:00:00-05:00,4
2021-10-21T05:00:00-05:00,4
2021-10-21T06:00:00-05:00,4
2021-10-21T07:00:00-05:00,4
2021-10-21T08:00:00-05:00,4
2021-10-21T09:00:00-05:00,5
2021-10-21T10:00:00-05:00,7
2021-10-21T11:00:00-05:00,9
2021-10-21T12:00:00-05:00,11
2021-10-21T13:00:00-05:00,13
2021-10-21T14:00:00-05:00,16
2021-10-21T15:00:00-05:00,17
2021-10-21T16:00:00-05:00,17
2021-10-21T17:00:00-05:00,16
2021-10-21T18:00:00-05:00,14
2021-10-21T19:00:00-05:00,13
2021-10-21T20:00:00-05:00,11
2021-10-21T21:00:00-05:00,10
2021-10-21T22:00:00-05:00,9
2021-10-21T23:00:00-05:00,8
2021-10-22T00:00:00-05:00,7
2021-10-22T01:00:00-05:00,7
2021-10-22T02:00:00-05:00,6
2021-10-22T03:00:00-05:00,5
2021-10-22T04:00:00-05:00,4
2021-10-22T05:00:00-05:00,3
2021-10-22T06:00:00-05:00,3
2021-10-22T07:00:00-05:00,3
2021-10-22T08:00:00-05:00,5
2021-10-22T09:00:00-05:00,8
2021-10-22T10:00:00-05:00,10
2021-10-22T11:00:00-05:00,13
2021-10-22T12:00:00-05:00,15
2021-10-22T13:00:00-05:00,17
2021-10-22T14:00:00-05:00,19
2021-10-22T15:00:00-05:00,19
2021-10-22T16:00:00-05:00,19
2021-10-22T17:00:00-05:00,19
2021-10-22T18:00:00-05:00,18
