play,genre,year_post_quem,year_ante_quem,problem_play
All's Well That Ends Well,comedy,1602,1603,1
Antony and Cleopatra,tragedy,1606,1607,0
As You Like It,comedy,1599,1600,0
Comedie of Errors,comedy,1592,1593,0
Coriolanus,tragedy,1607,1608,0
Cymbeline,tragedy,1609,1610,1
Hamlet,tragedy,1600,1601,0
"Henry IV, Pt. 1",history,1597,1598,0
"Henry IV, Pt. 2",history,1597,1598,0
Henry V,history,1598,1599,0
"Henry VI, Pt. 1",history,1612,1613,0
"Henry VI, Pt. 2",history,1590,1591,0
"Henry VI, Pt. 3",history,1590,1591,0
Henry VIII,history,1591,1592,0
Julius Caesar,tragedy,1599,1600,0
King John,history,1596,1597,0
King Lear,tragedy,1605,1606,0
King Richard II,history,1595,1596,0
Loves Labour's lost,comedy,1594,1595,0
Macbeth,tragedy,1605,1606,0
Measure for Measure,comedy,1604,1605,1
Merchant of Venice,comedy,1596,1597,1
Merry Wives of Windsor,comedy,1600,1601,0
Midsommer Nights Dreame,comedy,1595,1596,0
Much Ado About Nothing,comedy,1598,1599,0
Othello,tragedy,1604,1605,0
Pericles,comedy,1608,1609,0
Richard III,history,1592,1593,0
Romeo and Juliet,tragedy,1594,1595,0
Taming of the Shrew,comedy,1593,1594,0
The Tempest,comedy,1611,1612,0
Timon of Athens,tragedy,1607,1608,1
Titus Andronicus,tragedy,1593,1594,0
Troilus and Cressida,tragedy,1601,1602,1
Twelfth Night,comedy,1599,1600,0
Two Gentlemen of Verona,comedy,1594,1595,0
Winter's Tale,comedy,1610,1611,1
