year,month,outcome,lon,lat,shark_type,shark_length,num_sharks,provoked,victim_activity,age,gender
1945,2,injured,151.25,-33.95,wobbegong,1.3,1,provoked,fishing,24,male
1946,2,injured,115.75,-31.93333333,white shark,4.2,1,unprovoked,swimming,18,male
1946,8,fatal,145.6333333,-16.71666667,tiger shark,4.8,1,unprovoked,swimming,30,male
1947,12,injured,152.75,-31.7,bull shark,2,1,provoked,fishing,9,male
1948,2,fatal,151.8333333,-32.85,tiger shark,4,1,unprovoked,swimming,16,male
1949,1,uninjured,151.3,-33.66666667,white shark,3,1,unprovoked,boarding,0,male
1949,1,fatal,151.75,-32.93333333,white shark,4,1,unprovoked,swimming,20,male
1949,4,fatal,145.6333333,-16.71666667,tiger shark,3.6,1,unprovoked,swimming,13,male
1949,5,injured,122.1666667,-17.96666667,bull shark,2.7,1,unprovoked,swimming,22,female
1949,11,injured,151.2,-34,wobbegong,2,2,provoked,swimming,36,male
1950,11,injured,153.1,-28.1,bull shark,3.6,1,unprovoked,swimming,21,male
1951,2,injured,151.2666667,-33.88333333,wobbegong,1.2,1,unprovoked,swimming,14,male
1951,3,injured,151.3166667,-33.63333333,wobbegong,1.8,1,provoked,boarding,23,male
1951,12,fatal,151.75,-32.93333333,white shark,2.4,1,unprovoked,swimming,21,male
1951,12,uninjured,151.4333333,-33.36666667,white shark,3.7,1,unprovoked,boarding,32,male
1952,11,injured,145.15,-38.38333333,white shark,1.8,1,unprovoked,swimming,23,male
1952,12,injured,140.5666667,-38.01666667,white shark,2.5,1,provoked,fishing,25,male
1953,2,injured,150.8666667,-34.56666667,wobbegong,1.8,1,provoked,spearfishing,25,male
1953,3,injured,151.3,-33.73333333,tiger shark,4,1,provoked,spearfishing,23,male
1953,12,uninjured,151.25,-33.93333333,white shark,3.7,1,unprovoked,swimming,26,male
1953,12,injured,151.25,-33.93333333,white shark,3.7,1,unprovoked,swimming,26,male
1954,6,injured,145.99445,-16.91666667,tiger shark,2.4,1,provoked,snorkelling,30,male
1955,1,fatal,151.25,-33.81666667,bull shark,4,1,provoked,spearfishing,13,male
1955,2,fatal,151.2166667,-33.78333333,bull shark,3.6,1,unprovoked,swimming,25,male
1955,10,injured,145.9333333,-17.93333333,wobbegong,1.8,1,provoked,spearfishing,28,male
1956,1,injured,146.4,-17.71666667,tiger shark,5,1,provoked,snorkelling,18,male
1956,2,uninjured,145,-37.96666667,bronze whaler shark,3.6,1,provoked,spearfishing,19,male
1956,3,fatal,144.7,-38.33333333,white shark,4,1,unprovoked,swimming,26,male
1957,7,injured,142.2166667,-10.58333333,tiger shark,3,1,provoked,snorkelling,36,male
1958,1,injured,150.55,-35.2,white shark,3,1,provoked,spearfishing,17,male
1959,1,injured,115.85,-31.95,bull shark,1.5,1,provoked,fishing,20,male
1959,1,injured,153.1166667,-26.66666667,wobbegong,1.8,1,unprovoked,swimming,18,male
1959,11,injured,153.4333333,-28.01666667,tiger shark,4.5,1,provoked,swimming,19,male
1959,11,injured,144.0833333,-38.45,white shark,4,1,unprovoked,swimming,19,male
1960,1,fatal,151.2,-33.76666667,bull shark,3.3,1,unprovoked,snorkelling,13,male
1960,4,injured,153.0333333,-30.86666667,white shark,3.7,1,unprovoked,swimming,17,male
1960,11,injured,149.2,-21.13333333,whaler shark,0.9,1,unprovoked,swimming,44,male
1960,12,injured,151.2833333,-33.78333333,whaler shark,3,1,unprovoked,swimming,27,female
