name,gender,prob
Abby,female,1
Able,male,1
Agnes,female,1
Alberto,male,1
Alex,male,0.9634
Alice,female,1
Alicia,female,1
Allen,male,0.9936
Allison,female,0.9987
Alma,female,0.9867
Amelia,female,1
Amy,female,0.9985
Ana,female,0.997
Andrea,female,0.9915
Andrew,male,0.9979
Anita,female,1
Anna,female,0.9992
Arlene,female,1
Arthur,male,1
Audrey,female,0.9968
Baker,male,1
Barbara,female,1
Barry,male,1
Becky,female,1
Belle,female,1
Bertha,female,1
Beryl,female,1
Bess,female,1
Beth,female,1
Betsy,female,1
Betty,female,1
Beulah,female,1
Bill,male,1
Blanche,female,1
Bob,male,1
Bonnie,female,1
Brenda,female,1
Bret,male,0.9694
Camille,female,1
Candice,female,1
Candy,female,1
Carla,female,1
Carmen,female,0.9513
Carol,female,1
Caroline,female,0.9987
Carrie,female,1
Celia,female,1
Cesar,male,0.9957
Chantal,female,1
Charley,female,0.6421
Charlie,male,0.791
Chloe,female,0.9986
Chris,male,0.9678
Christine,female,0.9949
Cindy,female,1
Clara,female,1
Claudette,female,1
Cleo,female,0.8169
Colin,male,0.9973
Connie,female,1
Cora,female,1
Cristobal,male,1
Daisy,female,0.9965
Danielle,female,0.9971
Danny,male,0.9929
David,male,0.9976
Dawn,female,1
Dean,male,1
Debbie,female,1
Debby,female,1
Debra,female,1
Delia,female,1
Dennis,male,0.992
Diana,female,0.9974
Diane,female,1
Dolly,female,1
Don,male,1
Donna,female,1
Dora,female,1
Doria,female,1
Dorian,male,0.9023
Doris,female,1
Dorothy,female,1
Earl,male,1
Edith,female,1
Edna,female,1
Edouard,male,1
Elaine,female,1
Elena,female,1
Ella,female,1
Ellen,female,1
Eloise,female,1
Emily,female,0.9989
Emmy,female,1
Erika,female,0.9963
Erin,female,0.9828
Ernesto,male,1
Esther,female,1
Ethel,female,1
Eve,female,1
Evelyn,female,1
Fabian,male,1
Faith,female,0.9982
Fay,female,1
Faye,female,1
Felice,female,1
Felix,male,1
Fern,female,1
Fiona,female,1
Flora,female,1
Florence,female,1
Floyd,male,1
Fox,male,1
Frances,female,0.9879
Franklin,male,1
Fred,male,1
Frederic,male,1
Frieda,female,1
Gabrielle,female,0.9961
Gail,female,1
Gaston,male,1
George,male,0.9975
Georges,male,1
Gertrude,female,1
Gilbert,male,1
Gilda,female,1
Ginger,female,1
Ginny,female,1
Gladys,female,1
Gloria,female,1
Gonzalo,male,1
Gordon,male,1
Grace,female,0.9992
Gracie,female,1
Greta,female,1
Gustav,male,1
Hallie,female,1
Hanna,female,1
Hannah,female,0.999
Harvey,male,1
Hattie,female,1
Hazel,female,1
Heidi,female,1
Helena,female,1
Helene,female,1
Henri,male,1
Hilda,female,1
Holly,female,1
Hope,female,0.998
Hugo,male,1
Humberto,male,1
Ian,male,0.9989
Ida,female,1
Igor,male,1
Ike,male,1
Ilsa,female,1
Imelda,female,1
Inez,female,1
Inga,female,1
Ingrid,female,1
Ione,female,1
Irene,female,1
Iris,female,1
Irma,female,1
Isaac,male,0.9977
Isabel,female,0.9968
Isaias,male,1
Isidore,male,1
Ivan,male,0.9953
Janet,female,1
Janice,female,1
Jeanne,female,1
Jenny,female,1
Jerry,male,0.9914
Joan,female,0.5105
Joaquin,male,1
Jose,male,0.9953
Josephine,female,1
Joyce,female,0.98740000000000006
Juan,male,0.9951
Judith,female,1
Julia,female,0.9992
Juliet,female,1
Kara,female,1
Karen,female,0.9915
Karl,male,1
Kate,female,1
Katia,female,1
Katie,female,1
Katrina,female,1
Keith,male,0.9937
Kendra,female,0.9963
King,male,1
Kirk,male,1
Klaus,male,1
Kristy,female,1
Kyle,male,0.9952
Larry,male,1
Laura,female,0.9975
Laurie,female,1
Lee,male,0.8737
Lenny,male,1
Leslie,female,0.9662
Lili,female,1
Lisa,female,0.9941
Lois,female,0.9319999999999999
Lorenzo,male,1
Love,female,0.9099
Luis,male,0.9956
Marco,male,0.9973
Maria,female,0.9978
Marilyn,female,1
Martha,female,1
Matthew,male,0.9983
Melissa,female,0.9984
Michael,male,0.9962
Michelle,female,0.996
Mike,male,1
Mindy,female,1
Mitch,male,1
Nadine,female,1
Nana,female,0.6885
Nate,male,1
Nestor,male,1
Nicholas,male,0.9983
Nicole,female,0.9977
Noel,male,0.7354
Odette,female,1
Olga,female,1
Omar,male,0.9968
Opal,female,1
Ophelia,female,1
Oscar,male,0.9973
Otto,male,1
Pablo,male,0.9947
Paloma,female,1
Patty,female,1
Paula,female,0.984
Paulette,female,1
Peter,male,0.9979
Philippe,male,1
Rafael,male,1
Rebekah,female,1
Rene,male,0.8729
Richard,male,0.9981
Rina,female,1
Rita,female,1
Roxanne,female,1
Sally,female,1
Sandy,female,0.9497
Sean,male,0.9927
Sebastien,male,1
Stan,male,1
Tammy,female,1
Tanya,female,1
Teddy,male,1
Tomas,male,1
Tony,male,0.9931
Vicky,female,1
Vince,male,1
Wilfred,male,1
Wilma,female,1
