year,name,letter,doy,hour,lat,lon,status,category,wind
1950,Able,A,224,0,17.1,-55.5,TS,0,35
1950,Able,A,224,6,17.7,-56.3,TS,0,40
1950,Able,A,224,12,18.2,-57.4,TS,0,45
1950,Able,A,224,18,19,-58.6,TS,0,50
1950,Able,A,225,0,20,-60,TS,0,50
1950,Able,A,225,6,20.7,-61.1,TS,0,50
1950,Able,A,225,12,21.3,-62.2,TS,0,55
1950,Able,A,225,18,22,-63.2,TS,0,55
1950,Able,A,226,0,22.7,-63.8,TS,0,60
1950,Able,A,226,6,23.1,-64.6,TS,0,60
1950,Able,A,226,12,23.4,-65.4,TS,0,60
1950,Able,A,226,18,23.9,-66,HU,1,65
1950,Able,A,227,0,24.4,-66.2,HU,1,65
1950,Able,A,227,6,24.8,-66.5,HU,1,65
1950,Able,A,227,12,25.2,-66.8,HU,1,70
1950,Able,A,227,18,25.5,-67.5,HU,1,75
1950,Able,A,228,0,25.7,-68.1,HU,1,80
1950,Able,A,228,6,25.7,-68.7,HU,1,80
1950,Able,A,228,12,25.5,-69.3,HU,1,80
1950,Able,A,228,18,25.4,-69.8,HU,2,85
1950,Able,A,229,0,25.4,-70.6,HU,2,90
1950,Able,A,229,6,25.4,-71.5,HU,2,95
1950,Able,A,229,12,25.5,-72.6,HU,3,100
1950,Able,A,229,18,25.9,-73.3,HU,3,100
1950,Able,A,230,0,26.7,-73.9,HU,3,100
1950,Able,A,230,6,27.3,-74.4,HU,3,100
1950,Able,A,230,12,27.9,-74.9,HU,3,100
1950,Able,A,230,18,28.4,-75.3,HU,3,105
1950,Able,A,231,0,29.1,-75.5,HU,3,105
1950,Able,A,231,6,29.9,-75.5,HU,3,105
1950,Able,A,231,12,30.7,-75.5,HU,3,105
1950,Able,A,231,18,31.7,-75.5,HU,3,110
1950,Able,A,232,0,32.8,-75.2,HU,3,110
1950,Able,A,232,6,34.4,-74.3,HU,3,105
1950,Able,A,232,12,36,-72.7,HU,3,100
1950,Able,A,232,18,37.6,-71,HU,2,90
1950,Able,A,233,0,39.3,-69.4,HU,1,80
1950,Able,A,233,6,41.2,-67.3,HU,1,70
1950,Able,A,233,12,43.3,-65,HU,1,65
1950,Able,A,233,16,44.6,-63.7,HU,1,65
1950,Able,A,233,18,45.5,-62.6,TS,0,45
1950,Able,A,234,0,47.9,-59.8,EX,0,35
1950,Able,A,234,6,50,-56.8,EX,-1,30
1950,Able,A,234,12,52,-53.8,EX,-1,30
1950,Able,A,234,18,53.6,-50.7,EX,-1,30
1950,Able,A,235,0,54.7,-47.7,EX,0,35
1950,Able,A,235,6,55.3,-44.8,EX,0,35
1950,Able,A,235,12,55.3,-41.8,EX,0,35
1950,Able,A,235,18,54.5,-37.7,EX,-1,30
1950,Able,A,236,0,53.5,-33.7,EX,-1,30
1950,Able,A,236,6,52.5,-30.3,EX,-1,30
1950,Baker,B,230,12,12,-54,TD,-1,30
1950,Baker,B,230,18,12.5,-54.2,TD,-1,30
1950,Baker,B,231,0,13,-54.4,TD,-1,30
1950,Baker,B,231,6,13.5,-54.7,TD,-1,30
1950,Baker,B,231,12,14,-55,TS,0,35
1950,Baker,B,231,18,14.5,-55.4,TS,0,40
1950,Baker,B,232,0,15,-55.9,TS,0,45
1950,Baker,B,232,6,15.5,-56.4,TS,0,50
1950,Baker,B,232,12,16,-57,TS,0,55
1950,Baker,B,232,18,16.3,-57.9,TS,0,60
1950,Baker,B,233,0,16.6,-58.8,HU,1,65
1950,Baker,B,233,6,16.8,-59.8,HU,1,70
1950,Baker,B,233,12,16.9,-60.6,HU,1,70
1950,Baker,B,233,18,17,-61,HU,1,75
1950,Baker,B,234,0,17,-61.4,HU,2,85
1950,Baker,B,234,6,16.9,-61.8,HU,1,75
1950,Baker,B,234,12,16.8,-62.2,TS,0,60
1950,Baker,B,234,18,16.8,-62.9,TS,0,45
1950,Baker,B,235,0,17,-64,TS,0,45
1950,Baker,B,235,6,17.4,-65.1,TS,0,40
1950,Baker,B,235,12,17.8,-66.2,TS,0,35
1950,Baker,B,235,18,18.2,-67.3,TD,-1,30
1950,Baker,B,236,0,18.6,-68.6,TD,-1,30
1950,Baker,B,236,6,19.4,-70,TD,-1,25
1950,Baker,B,236,12,20.3,-71.7,TD,-1,30
1950,Baker,B,236,18,20.9,-73.4,TS,0,40
1950,Baker,B,237,0,21.3,-74.8,TS,0,45
1950,Baker,B,237,6,21.6,-76.6,TS,0,45
1950,Baker,B,237,12,21.7,-78.1,TS,0,35
1950,Baker,B,237,18,21.7,-79.1,TD,-1,30
1950,Baker,B,238,0,21.7,-80.1,TS,0,35
1950,Baker,B,238,6,21.7,-81.2,TS,0,45
1950,Baker,B,238,12,21.8,-81.9,TS,0,45
1950,Baker,B,238,18,21.9,-82.5,TS,0,50
1950,Baker,B,239,0,22,-83.2,TS,0,50
1950,Baker,B,239,6,22.2,-84,TS,0,45
1950,Baker,B,239,12,22.3,-84.6,TS,0,50
1950,Baker,B,239,18,22.4,-85.3,TS,0,55
1950,Baker,B,240,0,22.6,-86.1,TS,0,55
1950,Baker,B,240,6,22.8,-86.8,TS,0,55
1950,Baker,B,240,12,23,-87.2,TS,0,55
1950,Baker,B,240,18,23.2,-87.5,TS,0,55
1950,Baker,B,241,0,23.5,-87.7,HU,1,65
1950,Baker,B,241,6,23.7,-88,HU,1,75
1950,Baker,B,241,12,23.9,-88.3,HU,1,80
1950,Baker,B,241,18,24.1,-88.4,HU,2,85
1950,Baker,B,242,0,24.7,-88.6,HU,2,90
1950,Baker,B,242,6,25.7,-88.8,HU,2,90
1950,Baker,B,242,12,27,-89,HU,2,90
1950,Baker,B,242,18,28.2,-88.7,HU,2,85
1950,Baker,B,243,0,29.4,-88.2,HU,1,75
1950,Baker,B,243,3,30.2,-88,HU,1,75
1950,Baker,B,243,4,30.7,-87.9,HU,1,75
1950,Baker,B,243,6,31.1,-87.9,TS,0,60
1950,Baker,B,243,12,33.4,-88.2,TS,0,40
1950,Baker,B,243,18,34.8,-88.7,TS,0,35
1950,Baker,B,244,0,36,-89,TD,-1,25
1950,Baker,B,244,6,36.7,-89,TD,-1,20
1950,Baker,B,244,12,36.7,-89.2,TD,-1,15
1950,Baker,B,244,18,37,-89.7,TD,-1,15
1950,Charlie,C,233,12,11.1,-26.4,TS,0,35
1950,Charlie,C,233,18,11,-27.6,TS,0,35
1950,Charlie,C,234,0,10.9,-28.9,TS,0,35
1950,Charlie,C,234,6,10.8,-30.1,TS,0,35
1950,Charlie,C,234,12,10.7,-31.4,TS,0,35
1950,Charlie,C,234,18,10.6,-32.7,TS,0,35
1950,Charlie,C,235,0,10.6,-34,TS,0,35
1950,Charlie,C,235,6,10.6,-35.2,TS,0,35
1950,Charlie,C,235,12,10.7,-36.4,TS,0,35
1950,Charlie,C,235,18,10.8,-37.5,TS,0,35
1950,Charlie,C,236,0,11,-38.6,TS,0,35
1950,Charlie,C,236,6,11.2,-39.7,TS,0,35
1950,Charlie,C,236,12,11.5,-40.7,TS,0,35
1950,Charlie,C,236,18,11.9,-41.7,TS,0,40
1950,Charlie,C,237,0,12.4,-42.7,TS,0,40
1950,Charlie,C,237,6,12.9,-43.6,TS,0,40
1950,Charlie,C,237,12,13.5,-44.5,TS,0,40
1950,Charlie,C,237,18,14.2,-45.4,TS,0,40
1950,Charlie,C,238,0,14.9,-46.2,TS,0,45
1950,Charlie,C,238,6,15.7,-47.1,TS,0,45
1950,Charlie,C,238,12,16.5,-48,TS,0,45
1950,Charlie,C,238,18,17.3,-49,TS,0,45
1950,Charlie,C,239,0,18.1,-50,TS,0,50
1950,Charlie,C,239,6,18.9,-51,TS,0,55
1950,Charlie,C,239,12,19.8,-52,TS,0,55
1950,Charlie,C,239,18,20.9,-52.9,TS,0,60
1950,Charlie,C,240,0,22.3,-53.7,HU,1,65
1950,Charlie,C,240,6,23.8,-54.6,HU,1,70
1950,Charlie,C,240,12,25,-55.5,HU,1,75
1950,Charlie,C,240,18,26.1,-56.4,HU,1,80
1950,Charlie,C,241,0,27.1,-57.1,HU,1,80
1950,Charlie,C,241,6,28.3,-57.3,HU,1,80
1950,Charlie,C,241,12,29.5,-57.5,HU,2,85
1950,Charlie,C,241,18,30.4,-57.5,HU,2,90
1950,Charlie,C,242,0,31.2,-57.1,HU,2,90
1950,Charlie,C,242,6,31.9,-56.6,HU,2,90
1950,Charlie,C,242,12,32.5,-56.1,HU,2,90
1950,Charlie,C,242,18,32.8,-56,HU,2,90
1950,Charlie,C,243,0,32.9,-56.2,HU,2,90
1950,Charlie,C,243,6,32.8,-56.4,HU,2,90
1950,Charlie,C,243,12,32.8,-56.7,HU,2,95
1950,Charlie,C,243,18,32.8,-57.3,HU,2,95
1950,Charlie,C,244,0,32.8,-57.9,HU,2,95
1950,Charlie,C,244,6,32.7,-58.4,HU,2,90
1950,Charlie,C,244,12,32.6,-58.9,HU,2,85
1950,Charlie,C,244,18,32.7,-59.5,HU,2,85
1950,Charlie,C,245,0,33,-60.1,HU,1,80
