year,month,day,hour,name,letter,doy,lon,lat,status,category,wind
1950,8,12,0,Able,A,224,-55.5,17.1,TS,0,35
1950,8,12,6,Able,A,224,-56.3,17.7,TS,0,40
1950,8,12,12,Able,A,224,-57.4,18.2,TS,0,45
1950,8,12,18,Able,A,224,-58.6,19,TS,0,50
1950,8,13,0,Able,A,225,-60,20,TS,0,50
1950,8,13,6,Able,A,225,-61.1,20.7,TS,0,50
1950,8,13,12,Able,A,225,-62.2,21.3,TS,0,55
1950,8,13,18,Able,A,225,-63.2,22,TS,0,55
1950,8,14,0,Able,A,226,-63.8,22.7,TS,0,60
1950,8,14,6,Able,A,226,-64.6,23.1,TS,0,60
1950,8,14,12,Able,A,226,-65.4,23.4,TS,0,60
1950,8,14,18,Able,A,226,-66,23.9,HU,1,65
1950,8,15,0,Able,A,227,-66.2,24.4,HU,1,65
1950,8,15,6,Able,A,227,-66.5,24.8,HU,1,65
1950,8,15,12,Able,A,227,-66.8,25.2,HU,1,70
1950,8,15,18,Able,A,227,-67.5,25.5,HU,1,75
1950,8,16,0,Able,A,228,-68.1,25.7,HU,1,80
1950,8,16,6,Able,A,228,-68.7,25.7,HU,1,80
1950,8,16,12,Able,A,228,-69.3,25.5,HU,1,80
1950,8,16,18,Able,A,228,-69.8,25.4,HU,2,85
1950,8,17,0,Able,A,229,-70.6,25.4,HU,2,90
1950,8,17,6,Able,A,229,-71.5,25.4,HU,2,95
1950,8,17,12,Able,A,229,-72.6,25.5,HU,3,100
1950,8,17,18,Able,A,229,-73.3,25.9,HU,3,100
1950,8,18,0,Able,A,230,-73.9,26.7,HU,3,100
1950,8,18,6,Able,A,230,-74.4,27.3,HU,3,100
1950,8,18,12,Able,A,230,-74.9,27.9,HU,3,100
1950,8,18,18,Able,A,230,-75.3,28.4,HU,3,105
1950,8,19,0,Able,A,231,-75.5,29.1,HU,3,105
1950,8,19,6,Able,A,231,-75.5,29.9,HU,3,105
1950,8,19,12,Able,A,231,-75.5,30.7,HU,3,105
1950,8,19,18,Able,A,231,-75.5,31.7,HU,3,110
1950,8,20,0,Able,A,232,-75.2,32.8,HU,3,110
1950,8,20,6,Able,A,232,-74.3,34.4,HU,3,105
1950,8,20,12,Able,A,232,-72.7,36,HU,3,100
1950,8,20,18,Able,A,232,-71,37.6,HU,2,90
1950,8,21,0,Able,A,233,-69.4,39.3,HU,1,80
1950,8,21,6,Able,A,233,-67.3,41.2,HU,1,70
1950,8,21,12,Able,A,233,-65,43.3,HU,1,65
1950,8,21,16,Able,A,233,-63.7,44.6,HU,1,65
1950,8,21,18,Able,A,233,-62.6,45.5,TS,0,45
1950,8,22,0,Able,A,234,-59.8,47.9,EX,0,35
1950,8,22,6,Able,A,234,-56.8,50,EX,-1,30
1950,8,22,12,Able,A,234,-53.8,52,EX,-1,30
1950,8,22,18,Able,A,234,-50.7,53.6,EX,-1,30
1950,8,23,0,Able,A,235,-47.7,54.7,EX,0,35
1950,8,23,6,Able,A,235,-44.8,55.3,EX,0,35
1950,8,23,12,Able,A,235,-41.8,55.3,EX,0,35
1950,8,23,18,Able,A,235,-37.7,54.5,EX,-1,30
1950,8,24,0,Able,A,236,-33.7,53.5,EX,-1,30
1950,8,24,6,Able,A,236,-30.3,52.5,EX,-1,30
1950,8,18,12,Baker,B,230,-54,12,TD,-1,30
1950,8,18,18,Baker,B,230,-54.2,12.5,TD,-1,30
1950,8,19,0,Baker,B,231,-54.4,13,TD,-1,30
1950,8,19,6,Baker,B,231,-54.7,13.5,TD,-1,30
1950,8,19,12,Baker,B,231,-55,14,TS,0,35
1950,8,19,18,Baker,B,231,-55.4,14.5,TS,0,40
1950,8,20,0,Baker,B,232,-55.9,15,TS,0,45
1950,8,20,6,Baker,B,232,-56.4,15.5,TS,0,50
1950,8,20,12,Baker,B,232,-57,16,TS,0,55
1950,8,20,18,Baker,B,232,-57.9,16.3,TS,0,60
1950,8,21,0,Baker,B,233,-58.8,16.6,HU,1,65
1950,8,21,6,Baker,B,233,-59.8,16.8,HU,1,70
1950,8,21,12,Baker,B,233,-60.6,16.9,HU,1,70
1950,8,21,18,Baker,B,233,-61,17,HU,1,75
1950,8,22,0,Baker,B,234,-61.4,17,HU,2,85
1950,8,22,6,Baker,B,234,-61.8,16.9,HU,1,75
1950,8,22,12,Baker,B,234,-62.2,16.8,TS,0,60
1950,8,22,18,Baker,B,234,-62.9,16.8,TS,0,45
1950,8,23,0,Baker,B,235,-64,17,TS,0,45
1950,8,23,6,Baker,B,235,-65.1,17.4,TS,0,40
1950,8,23,12,Baker,B,235,-66.2,17.8,TS,0,35
1950,8,23,18,Baker,B,235,-67.3,18.2,TD,-1,30
1950,8,24,0,Baker,B,236,-68.6,18.6,TD,-1,30
1950,8,24,6,Baker,B,236,-70,19.4,TD,-1,25
1950,8,24,12,Baker,B,236,-71.7,20.3,TD,-1,30
1950,8,24,18,Baker,B,236,-73.4,20.9,TS,0,40
1950,8,25,0,Baker,B,237,-74.8,21.3,TS,0,45
1950,8,25,6,Baker,B,237,-76.6,21.6,TS,0,45
1950,8,25,12,Baker,B,237,-78.1,21.7,TS,0,35
1950,8,25,18,Baker,B,237,-79.1,21.7,TD,-1,30
1950,8,26,0,Baker,B,238,-80.1,21.7,TS,0,35
1950,8,26,6,Baker,B,238,-81.2,21.7,TS,0,45
1950,8,26,12,Baker,B,238,-81.9,21.8,TS,0,45
1950,8,26,18,Baker,B,238,-82.5,21.9,TS,0,50
1950,8,27,0,Baker,B,239,-83.2,22,TS,0,50
1950,8,27,6,Baker,B,239,-84,22.2,TS,0,45
1950,8,27,12,Baker,B,239,-84.6,22.3,TS,0,50
1950,8,27,18,Baker,B,239,-85.3,22.4,TS,0,55
1950,8,28,0,Baker,B,240,-86.1,22.6,TS,0,55
1950,8,28,6,Baker,B,240,-86.8,22.8,TS,0,55
1950,8,28,12,Baker,B,240,-87.2,23,TS,0,55
1950,8,28,18,Baker,B,240,-87.5,23.2,TS,0,55
1950,8,29,0,Baker,B,241,-87.7,23.5,HU,1,65
1950,8,29,6,Baker,B,241,-88,23.7,HU,1,75
1950,8,29,12,Baker,B,241,-88.3,23.9,HU,1,80
1950,8,29,18,Baker,B,241,-88.4,24.1,HU,2,85
1950,8,30,0,Baker,B,242,-88.6,24.7,HU,2,90
1950,8,30,6,Baker,B,242,-88.8,25.7,HU,2,90
1950,8,30,12,Baker,B,242,-89,27,HU,2,90
1950,8,30,18,Baker,B,242,-88.7,28.2,HU,2,85
1950,8,31,0,Baker,B,243,-88.2,29.4,HU,1,75
1950,8,31,3,Baker,B,243,-88,30.2,HU,1,75
1950,8,31,4,Baker,B,243,-87.9,30.7,HU,1,75
1950,8,31,6,Baker,B,243,-87.9,31.1,TS,0,60
