doc_id,doc_id_out,count
Marie de France,Matthew Arnold,1
Marie de France,Oscar Wilde,2
Marie de France,Samuel Pepys,1
Marie de France,T. S. Eliot,1
Marie de France,Thomas Malory,1
Marie de France,W. H. Auden,1
Marie de France,Walter Raleigh,1
Marie de France,William Blake,1
Marie de France,William Langland,1
Marie de France,William Shakespeare,2
Geoffrey Chaucer,George Bernard Shaw,1
Geoffrey Chaucer,George Eliot,6
Geoffrey Chaucer,George Herbert,2
Geoffrey Chaucer,George Orwell,3
Geoffrey Chaucer,Henry Vaughan,3
Geoffrey Chaucer,James Boswell,2
Geoffrey Chaucer,Jane Austen,5
Geoffrey Chaucer,John Clare,1
Geoffrey Chaucer,John Donne,4
Geoffrey Chaucer,John Dryden,3
Geoffrey Chaucer,John Gower,9
Geoffrey Chaucer,John Keats,3
Geoffrey Chaucer,John Locke,3
Geoffrey Chaucer,John Milton,5
Geoffrey Chaucer,John Stuart Mill,1
Geoffrey Chaucer,Jonathan Swift,2
Geoffrey Chaucer,Joseph Conrad,3
Geoffrey Chaucer,Katherine Philipps,1
Geoffrey Chaucer,Lord Byron,2
Geoffrey Chaucer,Louis MacNeice,1
Geoffrey Chaucer,Margaret Cavendish,2
Geoffrey Chaucer,Margery Kempe,5
Geoffrey Chaucer,Marie de France,3
Geoffrey Chaucer,Mary Robinson,1
Geoffrey Chaucer,Mary Wollstonecraft,1
Geoffrey Chaucer,Matthew Arnold,1
Geoffrey Chaucer,Oscar Wilde,2
Geoffrey Chaucer,Percy Bysshe Shelley,5
Geoffrey Chaucer,Philip Sidney,3
Geoffrey Chaucer,Rudyard Kipling,5
Geoffrey Chaucer,Samuel Beckett,1
Geoffrey Chaucer,Samuel Johnson,8
Geoffrey Chaucer,Samuel Pepys,5
Geoffrey Chaucer,Samuel Taylor Coleridge,3
Geoffrey Chaucer,Stephen Spender,1
Geoffrey Chaucer,T. S. Eliot,7
Geoffrey Chaucer,Thomas Hobbes,2
Geoffrey Chaucer,Thomas Malory,2
Geoffrey Chaucer,Thomas More,9
Geoffrey Chaucer,Virginia Woolf,1
Geoffrey Chaucer,W. H. Auden,7
Geoffrey Chaucer,Walter Raleigh,6
Geoffrey Chaucer,William Blake,3
Geoffrey Chaucer,William Langland,8
Geoffrey Chaucer,William Shakespeare,7
Geoffrey Chaucer,William Wordsworth,1
John Gower,John Locke,1
John Gower,Margaret Cavendish,1
John Gower,Marie de France,3
John Gower,Mary Wollstonecraft,1
John Gower,Oscar Wilde,1
John Gower,Percy Bysshe Shelley,1
John Gower,Rex Warner,1
John Gower,Rudyard Kipling,1
John Gower,Samuel Beckett,1
John Gower,Samuel Pepys,1
John Gower,Samuel Taylor Coleridge,2
John Gower,Thomas Hobbes,1
John Gower,Thomas Malory,1
John Gower,Thomas More,1
John Gower,Virginia Woolf,3
John Gower,W. H. Auden,2
John Gower,Walter Raleigh,2
John Gower,William Blake,1
John Gower,William Langland,3
John Gower,William Shakespeare,4
Margery Kempe,Marie de France,1
Margery Kempe,Mary Wollstonecraft,1
Margery Kempe,Percy Bysshe Shelley,1
Margery Kempe,Samuel Johnson,3
Margery Kempe,Samuel Taylor Coleridge,1
Margery Kempe,Stephen Spender,1
Margery Kempe,T. S. Eliot,2
Margery Kempe,Thomas More,7
Margery Kempe,W. H. Auden,1
Margery Kempe,Walter Raleigh,1
Margery Kempe,William Blake,1
Margery Kempe,William Langland,2
Margery Kempe,William Shakespeare,1
Margery Kempe,William Wordsworth,2
Thomas Malory,Thomas More,4
Thomas Malory,W. H. Auden,1
Thomas Malory,Walter Raleigh,2
Thomas Malory,William Blake,2
Thomas Malory,William Langland,1
Thomas Malory,William Shakespeare,3
Thomas Malory,William Wordsworth,2
Thomas More,Virginia Woolf,1
Thomas More,W. B. Yeats,1
Thomas More,W. H. Auden,3
Thomas More,Walter Raleigh,7
Thomas More,William Blake,4
Thomas More,William Shakespeare,10
Thomas More,William Wordsworth,3
Edmund Spenser,Elizabeth Barrett Browning,3
Edmund Spenser,Emilia Lanier,3
Edmund Spenser,Emily Brontë,2
Edmund Spenser,Felicia Hemans,1
Edmund Spenser,Geoffrey Chaucer,5
Edmund Spenser,George Bernard Shaw,1
Edmund Spenser,George Eliot,3
Edmund Spenser,George Herbert,1
Edmund Spenser,George Orwell,1
Edmund Spenser,Henry Vaughan,1
Edmund Spenser,James Boswell,1
Edmund Spenser,Jane Austen,2
Edmund Spenser,John Clare,3
Edmund Spenser,John Donne,4
Edmund Spenser,John Dryden,13
Edmund Spenser,John Gower,4
Edmund Spenser,John Keats,3
Edmund Spenser,John Locke,1
Edmund Spenser,John Milton,6
Edmund Spenser,John Stuart Mill,2
Edmund Spenser,Jonathan Swift,1
Edmund Spenser,Joseph Conrad,1
Edmund Spenser,Katherine Philipps,2
Edmund Spenser,Lord Byron,4
Edmund Spenser,Margaret Cavendish,3
Edmund Spenser,Marie de France,1
Edmund Spenser,Mary Robinson,1
Edmund Spenser,Mary Wollstonecraft,2
Edmund Spenser,Matthew Arnold,1
Edmund Spenser,Oscar Wilde,3
Edmund Spenser,Percy Bysshe Shelley,4
Edmund Spenser,Philip Sidney,4
Edmund Spenser,Rex Warner,1
Edmund Spenser,Robert Burns,1
Edmund Spenser,Rudyard Kipling,3
Edmund Spenser,Samuel Beckett,2
Edmund Spenser,Samuel Johnson,5
Edmund Spenser,Samuel Pepys,5
Edmund Spenser,Samuel Taylor Coleridge,6
Edmund Spenser,T. S. Eliot,5
Edmund Spenser,Thomas Hobbes,2
Edmund Spenser,Thomas Malory,1
Edmund Spenser,Virginia Woolf,1
Edmund Spenser,W. B. Yeats,3
Edmund Spenser,W. H. Auden,4
Edmund Spenser,Walter Raleigh,6
Edmund Spenser,William Blake,6
Edmund Spenser,William Langland,2
Edmund Spenser,William Shakespeare,10
Edmund Spenser,William Wordsworth,4
Walter Raleigh,William Blake,3
Walter Raleigh,William Langland,1
Walter Raleigh,William Shakespeare,6
Walter Raleigh,William Wordsworth,2
Philip Sidney,Rudyard Kipling,1
Philip Sidney,Samuel Johnson,3
Philip Sidney,Samuel Pepys,2
Philip Sidney,Samuel Taylor Coleridge,1
Philip Sidney,Stephen Spender,1
Philip Sidney,T. S. Eliot,2
Philip Sidney,Thomas Malory,1
Philip Sidney,Thomas More,2
Philip Sidney,W. B. Yeats,1
Philip Sidney,W. H. Auden,2
Philip Sidney,Walter Raleigh,4
Philip Sidney,William Blake,1
Philip Sidney,William Langland,1
Philip Sidney,William Shakespeare,2
Philip Sidney,William Wordsworth,2
Christopher Marlowe,D. H. Lawrence,1
Christopher Marlowe,Daphne du Maurier,1
Christopher Marlowe,Edmund Spenser,10
Christopher Marlowe,Edward Upward,1
Christopher Marlowe,Elizabeth Barrett Browning,1
Christopher Marlowe,Emilia Lanier,5
Christopher Marlowe,Emily Brontë,2
Christopher Marlowe,Geoffrey Chaucer,5
Christopher Marlowe,George Bernard Shaw,5
Christopher Marlowe,George Eliot,2
Christopher Marlowe,George Herbert,4
Christopher Marlowe,George Orwell,3
Christopher Marlowe,Henry Vaughan,2
Christopher Marlowe,James Boswell,2
Christopher Marlowe,Jane Austen,4
Christopher Marlowe,John Clare,5
Christopher Marlowe,John Donne,7
Christopher Marlowe,John Dryden,6
Christopher Marlowe,John Gower,2
Christopher Marlowe,John Keats,2
