doc_id,year,month,day,views
Marie de France,2023,8,1,121
Marie de France,2023,8,2,138
Marie de France,2023,8,3,138
Marie de France,2023,8,4,129
Marie de France,2023,8,5,104
Marie de France,2023,8,6,139
Marie de France,2023,8,7,107
Marie de France,2023,8,8,109
Marie de France,2023,8,9,127
Marie de France,2023,8,10,117
Marie de France,2023,8,11,107
Marie de France,2023,8,12,120
Marie de France,2023,8,13,132
Marie de France,2023,8,14,156
Marie de France,2023,8,15,157
Marie de France,2023,8,16,161
Marie de France,2023,8,17,140
Marie de France,2023,8,18,123
Marie de France,2023,8,19,120
Marie de France,2023,8,20,127
Marie de France,2023,8,21,117
Marie de France,2023,8,22,132
Marie de France,2023,8,23,147
Marie de France,2023,8,24,138
Marie de France,2023,8,25,135
Marie de France,2023,8,26,129
Marie de France,2023,8,27,150
Marie de France,2023,8,28,135
Marie de France,2023,8,29,145
Marie de France,2023,8,30,162
Marie de France,2023,8,31,149
Marie de France,2023,9,1,141
Marie de France,2023,9,2,145
Marie de France,2023,9,3,137
Marie de France,2023,9,4,144
Marie de France,2023,9,5,201
Marie de France,2023,9,6,186
Marie de France,2023,9,7,178
Marie de France,2023,9,8,148
Marie de France,2023,9,9,143
Marie de France,2023,9,10,175
Marie de France,2023,9,11,265
Marie de France,2023,9,12,205
Marie de France,2023,9,13,232
Marie de France,2023,9,14,239
Marie de France,2023,9,15,165
Marie de France,2023,9,16,182
Marie de France,2023,9,17,251
Marie de France,2023,9,18,720
Marie de France,2023,9,19,516
Marie de France,2023,9,20,201
Marie de France,2023,9,21,188
Marie de France,2023,9,22,203
Marie de France,2023,9,23,170
Marie de France,2023,9,24,175
Marie de France,2023,9,25,207
Marie de France,2023,9,26,226
Marie de France,2023,9,27,175
Marie de France,2023,9,28,160
Marie de France,2023,9,29,139
Geoffrey Chaucer,2023,8,1,2133
Geoffrey Chaucer,2023,8,2,1977
Geoffrey Chaucer,2023,8,3,1860
Geoffrey Chaucer,2023,8,4,1739
Geoffrey Chaucer,2023,8,5,1849
Geoffrey Chaucer,2023,8,6,1819
Geoffrey Chaucer,2023,8,7,1885
Geoffrey Chaucer,2023,8,8,1984
Geoffrey Chaucer,2023,8,9,1946
Geoffrey Chaucer,2023,8,10,1942
Geoffrey Chaucer,2023,8,11,1633
Geoffrey Chaucer,2023,8,12,1749
Geoffrey Chaucer,2023,8,13,1790
Geoffrey Chaucer,2023,8,14,1755
Geoffrey Chaucer,2023,8,15,1685
Geoffrey Chaucer,2023,8,16,1998
Geoffrey Chaucer,2023,8,17,1947
Geoffrey Chaucer,2023,8,18,1773
Geoffrey Chaucer,2023,8,19,1714
Geoffrey Chaucer,2023,8,20,1789
Geoffrey Chaucer,2023,8,21,1879
Geoffrey Chaucer,2023,8,22,2004
Geoffrey Chaucer,2023,8,23,1931
Geoffrey Chaucer,2023,8,24,1880
Geoffrey Chaucer,2023,8,25,1647
Geoffrey Chaucer,2023,8,26,1712
Geoffrey Chaucer,2023,8,27,1820
Geoffrey Chaucer,2023,8,28,1902
Geoffrey Chaucer,2023,8,29,1888
Geoffrey Chaucer,2023,8,30,1745
Geoffrey Chaucer,2023,8,31,1735
Geoffrey Chaucer,2023,9,1,1701
Geoffrey Chaucer,2023,9,2,1564
Geoffrey Chaucer,2023,9,3,1807
Geoffrey Chaucer,2023,9,4,1853
Geoffrey Chaucer,2023,9,5,4214
Geoffrey Chaucer,2023,9,6,2030
Geoffrey Chaucer,2023,9,7,2158
Geoffrey Chaucer,2023,9,8,2174
Geoffrey Chaucer,2023,9,9,1709
Geoffrey Chaucer,2023,9,10,2038
Geoffrey Chaucer,2023,9,11,2008
Geoffrey Chaucer,2023,9,12,2188
Geoffrey Chaucer,2023,9,13,2040
Geoffrey Chaucer,2023,9,14,2178
Geoffrey Chaucer,2023,9,15,1832
Geoffrey Chaucer,2023,9,16,2144
Geoffrey Chaucer,2023,9,17,1911
Geoffrey Chaucer,2023,9,18,2140
Geoffrey Chaucer,2023,9,19,2174
Geoffrey Chaucer,2023,9,20,2276
Geoffrey Chaucer,2023,9,21,2597
Geoffrey Chaucer,2023,9,22,1873
Geoffrey Chaucer,2023,9,23,1658
Geoffrey Chaucer,2023,9,24,1950
Geoffrey Chaucer,2023,9,25,2384
Geoffrey Chaucer,2023,9,26,2188
Geoffrey Chaucer,2023,9,27,1950
Geoffrey Chaucer,2023,9,28,2590
Geoffrey Chaucer,2023,9,29,2082
John Gower,2023,8,1,72
John Gower,2023,8,2,75
John Gower,2023,8,3,95
John Gower,2023,8,4,82
John Gower,2023,8,5,92
John Gower,2023,8,6,77
John Gower,2023,8,7,92
John Gower,2023,8,8,100
John Gower,2023,8,9,86
John Gower,2023,8,10,61
John Gower,2023,8,11,99
John Gower,2023,8,12,69
John Gower,2023,8,13,79
John Gower,2023,8,14,59
John Gower,2023,8,15,80
John Gower,2023,8,16,77
John Gower,2023,8,17,107
John Gower,2023,8,18,100
John Gower,2023,8,19,98
John Gower,2023,8,20,59
John Gower,2023,8,21,119
John Gower,2023,8,22,93
John Gower,2023,8,23,72
John Gower,2023,8,24,101
John Gower,2023,8,25,85
John Gower,2023,8,26,56
John Gower,2023,8,27,57
John Gower,2023,8,28,86
John Gower,2023,8,29,69
John Gower,2023,8,30,90
John Gower,2023,8,31,73
John Gower,2023,9,1,85
John Gower,2023,9,2,68
John Gower,2023,9,3,82
John Gower,2023,9,4,69
John Gower,2023,9,5,82
John Gower,2023,9,6,93
John Gower,2023,9,7,90
John Gower,2023,9,8,79
John Gower,2023,9,9,78
John Gower,2023,9,10,78
John Gower,2023,9,11,94
John Gower,2023,9,12,107
John Gower,2023,9,13,92
John Gower,2023,9,14,92
John Gower,2023,9,15,90
John Gower,2023,9,16,70
John Gower,2023,9,17,78
John Gower,2023,9,18,100
John Gower,2023,9,19,107
John Gower,2023,9,20,106
John Gower,2023,9,21,98
John Gower,2023,9,22,95
John Gower,2023,9,23,79
John Gower,2023,9,24,87
John Gower,2023,9,25,103
John Gower,2023,9,26,110
John Gower,2023,9,27,98
John Gower,2023,9,28,78
John Gower,2023,9,29,81
William Langland,2023,8,1,97
William Langland,2023,8,2,106
William Langland,2023,8,3,96
William Langland,2023,8,4,85
William Langland,2023,8,5,83
William Langland,2023,8,6,91
William Langland,2023,8,7,74
William Langland,2023,8,8,94
William Langland,2023,8,9,96
William Langland,2023,8,10,84
William Langland,2023,8,11,95
William Langland,2023,8,12,76
William Langland,2023,8,13,81
William Langland,2023,8,14,83
William Langland,2023,8,15,81
William Langland,2023,8,16,100
William Langland,2023,8,17,102
William Langland,2023,8,18,77
William Langland,2023,8,19,87
William Langland,2023,8,20,61
William Langland,2023,8,21,81
William Langland,2023,8,22,74
William Langland,2023,8,23,94
William Langland,2023,8,24,114
William Langland,2023,8,25,103
William Langland,2023,8,26,88
William Langland,2023,8,27,70
William Langland,2023,8,28,83
William Langland,2023,8,29,87
William Langland,2023,8,30,89
William Langland,2023,8,31,67
William Langland,2023,9,1,84
William Langland,2023,9,2,76
William Langland,2023,9,3,79
William Langland,2023,9,4,75
William Langland,2023,9,5,285
William Langland,2023,9,6,90
William Langland,2023,9,7,101
William Langland,2023,9,8,84
William Langland,2023,9,9,96
William Langland,2023,9,10,111
William Langland,2023,9,11,111
William Langland,2023,9,12,132
William Langland,2023,9,13,115
William Langland,2023,9,14,122
William Langland,2023,9,15,78
William Langland,2023,9,16,117
William Langland,2023,9,17,94
William Langland,2023,9,18,115
William Langland,2023,9,19,140
William Langland,2023,9,20,138
William Langland,2023,9,21,99
William Langland,2023,9,22,105
William Langland,2023,9,23,76
William Langland,2023,9,24,100
William Langland,2023,9,25,84
William Langland,2023,9,26,82
William Langland,2023,9,27,87
William Langland,2023,9,28,91
William Langland,2023,9,29,89
Margery Kempe,2023,8,1,109
Margery Kempe,2023,8,2,145
Margery Kempe,2023,8,3,119
Margery Kempe,2023,8,4,155
Margery Kempe,2023,8,5,136
Margery Kempe,2023,8,6,144
Margery Kempe,2023,8,7,610
Margery Kempe,2023,8,8,385
Margery Kempe,2023,8,9,208
Margery Kempe,2023,8,10,178
Margery Kempe,2023,8,11,186
Margery Kempe,2023,8,12,146
Margery Kempe,2023,8,13,158
Margery Kempe,2023,8,14,167
Margery Kempe,2023,8,15,141
Margery Kempe,2023,8,16,140
Margery Kempe,2023,8,17,111
Margery Kempe,2023,8,18,126
Margery Kempe,2023,8,19,126
Margery Kempe,2023,8,20,124
Margery Kempe,2023,8,21,166
Margery Kempe,2023,8,22,192
Margery Kempe,2023,8,23,159
Margery Kempe,2023,8,24,136
Margery Kempe,2023,8,25,235
Margery Kempe,2023,8,26,132
Margery Kempe,2023,8,27,155
Margery Kempe,2023,8,28,133
Margery Kempe,2023,8,29,130
Margery Kempe,2023,8,30,147
Margery Kempe,2023,8,31,165
Margery Kempe,2023,9,1,145
Margery Kempe,2023,9,2,123
Margery Kempe,2023,9,3,139
Margery Kempe,2023,9,4,173
Margery Kempe,2023,9,5,245
Margery Kempe,2023,9,6,183
Margery Kempe,2023,9,7,185
Margery Kempe,2023,9,8,178
Margery Kempe,2023,9,9,119
Margery Kempe,2023,9,10,143
Margery Kempe,2023,9,11,156
Margery Kempe,2023,9,12,171
Margery Kempe,2023,9,13,215
Margery Kempe,2023,9,14,242
Margery Kempe,2023,9,15,184
Margery Kempe,2023,9,16,182
Margery Kempe,2023,9,17,218
Margery Kempe,2023,9,18,239
Margery Kempe,2023,9,19,197
Margery Kempe,2023,9,20,249
Margery Kempe,2023,9,21,301
Margery Kempe,2023,9,22,245
Margery Kempe,2023,9,23,158
Margery Kempe,2023,9,24,162
Margery Kempe,2023,9,25,294
Margery Kempe,2023,9,26,235
Margery Kempe,2023,9,27,214
Margery Kempe,2023,9,28,321
Margery Kempe,2023,9,29,302
Thomas Malory,2023,8,1,282
Thomas Malory,2023,8,2,203
Thomas Malory,2023,8,3,223
Thomas Malory,2023,8,4,211
Thomas Malory,2023,8,5,184
Thomas Malory,2023,8,6,209
Thomas Malory,2023,8,7,200
Thomas Malory,2023,8,8,208
Thomas Malory,2023,8,9,268
Thomas Malory,2023,8,10,205
Thomas Malory,2023,8,11,183
Thomas Malory,2023,8,12,199
Thomas Malory,2023,8,13,167
Thomas Malory,2023,8,14,241
Thomas Malory,2023,8,15,216
Thomas Malory,2023,8,16,197
Thomas Malory,2023,8,17,227
Thomas Malory,2023,8,18,198
Thomas Malory,2023,8,19,186
Thomas Malory,2023,8,20,790
Thomas Malory,2023,8,21,434
Thomas Malory,2023,8,22,304
Thomas Malory,2023,8,23,281
Thomas Malory,2023,8,24,236
Thomas Malory,2023,8,25,234
Thomas Malory,2023,8,26,250
Thomas Malory,2023,8,27,227
Thomas Malory,2023,8,28,273
Thomas Malory,2023,8,29,263
Thomas Malory,2023,8,30,234
Thomas Malory,2023,8,31,205
Thomas Malory,2023,9,1,234
Thomas Malory,2023,9,2,207
Thomas Malory,2023,9,3,213
Thomas Malory,2023,9,4,208
Thomas Malory,2023,9,5,228
Thomas Malory,2023,9,6,243
Thomas Malory,2023,9,7,254
Thomas Malory,2023,9,8,185
Thomas Malory,2023,9,9,164
Thomas Malory,2023,9,10,224
Thomas Malory,2023,9,11,284
Thomas Malory,2023,9,12,255
Thomas Malory,2023,9,13,210
Thomas Malory,2023,9,14,230
Thomas Malory,2023,9,15,178
Thomas Malory,2023,9,16,180
Thomas Malory,2023,9,17,216
Thomas Malory,2023,9,18,262
Thomas Malory,2023,9,19,245
Thomas Malory,2023,9,20,588
Thomas Malory,2023,9,21,258
Thomas Malory,2023,9,22,236
Thomas Malory,2023,9,23,215
Thomas Malory,2023,9,24,272
Thomas Malory,2023,9,25,239
Thomas Malory,2023,9,26,247
Thomas Malory,2023,9,27,255
Thomas Malory,2023,9,28,220
