Genus,Species,Date
Ammodramus,savannarum,10/6/17
Ammodramus,savannarum,10/10/17
Ammodramus,savannarum,10/26/17
Ammodramus,savannarum,5/10/18
Cardellina,canadensis,9/20/17
Cardellina,canadensis,5/22/18
Cardellina,canadensis,5/15/18
Cardellina,canadensis,5/15/18
Cardellina,canadensis,5/15/18
Cardellina,canadensis,5/19/18
Cardellina,canadensis,5/22/18
Cardellina,pusilla,9/17/17
Cardellina,pusilla,9/18/17
Cardellina,pusilla,9/18/17
Cardellina,pusilla,9/19/17
Cardellina,pusilla,9/19/17
Cardellina,pusilla,9/20/17
Cardellina,pusilla,9/20/17
Cardellina,pusilla,9/23/17
Cardellina,pusilla,9/25/17
Cardellina,pusilla,9/11/17
Cardellina,pusilla,5/14/18
Cardellina,pusilla,5/15/18
Cardellina,pusilla,5/15/18
Catharus,fuscescens,5/15/18
Catharus,fuscescens,5/6/18
Catharus,guttatus,10/5/17
Catharus,guttatus,10/5/17
Catharus,guttatus,10/10/17
Catharus,guttatus,10/10/17
Catharus,guttatus,10/10/17
Catharus,guttatus,10/10/17
Catharus,guttatus,10/11/17
Catharus,guttatus,10/11/17
Catharus,guttatus,10/12/17
Catharus,guttatus,10/16/17
Catharus,guttatus,10/19/17
Catharus,guttatus,10/20/17
Catharus,guttatus,10/22/17
Catharus,guttatus,10/26/17
Catharus,guttatus,10/26/17
Catharus,guttatus,10/26/17
Catharus,guttatus,10/26/17
Catharus,guttatus,10/27/17
Catharus,guttatus,10/29/17
Catharus,guttatus,10/30/17
Catharus,guttatus,10/30/17
Catharus,guttatus,10/30/17
Catharus,guttatus,11/1/17
Catharus,guttatus,10/9/17
Catharus,guttatus,4/14/18
Catharus,guttatus,4/14/18
Catharus,guttatus,4/12/18
Catharus,guttatus,4/26/18
Catharus,guttatus,5/3/18
Catharus,minimus,9/12/17
Catharus,minimus,9/20/17
Catharus,minimus,10/2/17
Catharus,minimus,10/4/17
Catharus,minimus,10/10/17
Catharus,minimus,5/14/18
Catharus,minimus,5/15/18
Catharus,minimus,5/16/18
Catharus,minimus,5/28/18
Catharus,ustulatus,9/4/17
Catharus,ustulatus,9/11/17
Catharus,ustulatus,9/13/17
Catharus,ustulatus,9/14/17
Catharus,ustulatus,9/15/17
Catharus,ustulatus,9/15/17
Catharus,ustulatus,9/17/17
Catharus,ustulatus,9/18/17
Catharus,ustulatus,9/19/17
Catharus,ustulatus,9/20/17
Catharus,ustulatus,9/24/17
Catharus,ustulatus,9/25/17
Catharus,ustulatus,10/1/17
Catharus,ustulatus,10/2/17
Catharus,ustulatus,10/2/17
Catharus,ustulatus,10/5/17
Catharus,ustulatus,10/5/17
Catharus,ustulatus,10/5/17
Catharus,ustulatus,10/12/17
Catharus,ustulatus,10/26/17
Catharus,ustulatus,10/24/17
Catharus,ustulatus,5/24/18
Catharus,ustulatus,5/6/18
Catharus,ustulatus,5/6/18
Catharus,ustulatus,5/12/18
Catharus,ustulatus,5/15/18
Catharus,ustulatus,5/15/18
Catharus,ustulatus,5/15/18
Catharus,ustulatus,5/15/18
Catharus,ustulatus,5/15/18
Catharus,ustulatus,5/10/18
Catharus,ustulatus,5/10/18
Certhia,americana,9/30/17
Certhia,americana,9/30/17
Certhia,americana,10/5/17
Certhia,americana,10/5/17
Certhia,americana,10/5/17
Certhia,americana,10/5/17
Certhia,americana,10/5/17
Certhia,americana,10/10/17
Certhia,americana,10/10/17
Certhia,americana,10/10/17
Certhia,americana,10/10/17
Certhia,americana,10/10/17
Certhia,americana,10/11/17
Certhia,americana,10/11/17
Certhia,americana,10/11/17
Certhia,americana,10/11/17
Certhia,americana,10/12/17
Certhia,americana,10/12/17
Certhia,americana,10/13/17
Certhia,americana,10/13/17
Certhia,americana,10/14/17
Certhia,americana,10/14/17
Certhia,americana,10/15/17
Certhia,americana,10/15/17
Certhia,americana,10/15/17
Certhia,americana,10/15/17
Certhia,americana,10/15/17
Certhia,americana,10/15/17
Certhia,americana,10/16/17
Certhia,americana,10/16/17
Certhia,americana,10/16/17
Certhia,americana,10/16/17
Certhia,americana,10/17/17
Certhia,americana,10/19/17
Certhia,americana,10/19/17
Certhia,americana,10/20/17
Certhia,americana,10/21/17
Certhia,americana,10/21/17
Certhia,americana,10/22/17
Certhia,americana,10/26/17
Certhia,americana,10/26/17
Certhia,americana,10/26/17
Certhia,americana,10/26/17
Certhia,americana,10/26/17
Certhia,americana,10/26/17
Certhia,americana,10/26/17
Certhia,americana,10/26/17
Certhia,americana,10/27/17
Certhia,americana,10/27/17
Certhia,americana,10/27/17
Certhia,americana,10/27/17
Certhia,americana,10/27/17
Certhia,americana,10/29/17
Certhia,americana,10/29/17
Certhia,americana,10/29/17
Certhia,americana,10/29/17
Certhia,americana,10/30/17
Certhia,americana,10/30/17
Certhia,americana,11/1/17
Certhia,americana,11/4/17
Certhia,americana,11/4/17
Certhia,americana,11/4/17
Certhia,americana,11/4/17
Certhia,americana,11/5/17
Certhia,americana,10/27/17
Certhia,americana,4/14/18
Certhia,americana,4/14/18
Certhia,americana,4/14/18
Certhia,americana,4/13/18
Certhia,americana,4/12/18
Certhia,americana,4/14/18
Certhia,americana,4/14/18
Certhia,americana,4/14/18
Certhia,americana,4/14/18
Certhia,americana,4/13/18
Certhia,americana,4/14/18
Certhia,americana,4/14/18
Certhia,americana,4/14/18
Certhia,americana,4/14/18
Certhia,americana,4/14/18
Certhia,americana,4/14/18
Certhia,americana,4/14/18
Certhia,americana,4/14/18
Certhia,americana,4/20/18
Certhia,americana,4/20/18
Certhia,americana,4/20/18
