major	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
Accounting	"1,538,733"	"1,673,857"	"1,760,265"	"1,816,639"	"1,872,135"	"1,933,803"	"1,980,822"	"2,019,701"	"2,059,812"	"2,090,352"	"2,127,699"	"2,167,101"	"2,199,045"	"2,228,824"	"2,250,222"	"2,275,172"	"2,303,972"	"2,330,689"	"2,349,476"	"2,373,365"	"2,400,120"	"2,421,704"	"2,440,913"	"2,462,320"	"2,479,781"	"2,502,432"	"2,522,873"	"2,540,694"	"2,568,515"	"2,587,777"	"2,608,934"	"2,624,324"	"2,643,314"	"2,665,787"	"2,683,951"	"2,708,634"	"2,732,002"	"2,754,009"	"2,777,380"	"2,795,971"	"2,811,466"	"2,835,408"	"2,852,486"	"2,878,894"	"2,898,365"	"2,916,323"	"2,940,028"	"2,961,939"	"2,982,953"	"3,006,343"	"3,028,373"	"3,052,124"	"3,075,336"	"3,100,204"	"3,121,043"	"3,138,948"	"3,161,488"	"3,185,301"	"3,216,318"	"3,234,418"	"3,257,665"	"3,291,598"	"3,315,863"	"3,334,638"	"3,365,621"	"3,390,186"	"3,414,818"	"3,438,850"	"3,473,032"	"3,505,566"	"3,537,464"	"3,567,159"	"3,593,669"	"3,623,776"	"3,651,773"	"3,685,373"	"3,729,643"	"3,766,920"	"3,809,655"	"3,854,694"	"3,896,471"	"3,943,194"	"3,979,235"	"4,024,105"	"4,073,070"	"4,129,132"	"4,187,379"	"4,243,397"	"4,306,838"	"4,388,496"	"4,472,248"	"4,564,246"	"4,643,528"	"4,747,888"	"4,897,079"	"5,034,628"	"5,339,105"	"5,615,164"	"6,158,339"
Advertising/Public Relations	"1,324,145"	"1,452,861"	"1,519,601"	"1,590,513"	"1,635,626"	"1,678,928"	"1,725,447"	"1,757,944"	"1,789,341"	"1,811,103"	"1,837,002"	"1,859,700"	"1,881,691"	"1,914,093"	"1,932,540"	"1,956,545"	"1,976,375"	"1,995,539"	"2,020,253"	"2,039,694"	"2,066,022"	"2,083,076"	"2,098,651"	"2,115,922"	"2,133,077"	"2,152,671"	"2,168,796"	"2,187,467"	"2,214,792"	"2,230,384"	"2,252,958"	"2,265,549"	"2,283,280"	"2,301,035"	"2,318,755"	"2,332,619"	"2,348,255"	"2,361,560"	"2,381,429"	"2,405,071"	"2,424,115"	"2,440,957"	"2,456,841"	"2,471,280"	"2,485,469"	"2,508,586"	"2,529,376"	"2,554,909"	"2,574,051"	"2,595,233"	"2,614,008"	"2,639,094"	"2,654,568"	"2,678,612"	"2,694,335"	"2,710,777"	"2,737,269"	"2,760,817"	"2,786,174"	"2,808,665"	"2,828,090"	"2,843,950"	"2,871,762"	"2,900,061"	"2,922,128"	"2,947,266"	"2,979,967"	"2,995,320"	"3,014,971"	"3,045,519"	"3,068,294"	"3,096,020"	"3,127,372"	"3,158,178"	"3,195,557"	"3,233,226"	"3,263,360"	"3,313,883"	"3,347,583"	"3,394,533"	"3,434,227"	"3,481,116"	"3,534,206"	"3,570,815"	"3,611,220"	"3,662,474"	"3,717,232"	"3,789,134"	"3,842,091"	"3,899,892"	"3,988,029"	"4,071,986"	"4,173,817"	"4,313,778"	"4,475,330"	"4,658,751"	"4,934,307"	"5,275,761"	"5,827,614"
Aerospace Engineering	"2,027,993"	"2,156,719"	"2,239,833"	"2,291,640"	"2,337,633"	"2,375,993"	"2,424,650"	"2,457,974"	"2,506,157"	"2,531,544"	"2,568,222"	"2,598,564"	"2,632,748"	"2,655,450"	"2,692,439"	"2,717,873"	"2,754,853"	"2,783,173"	"2,810,517"	"2,831,509"	"2,853,882"	"2,873,594"	"2,892,959"	"2,920,226"	"2,946,511"	"2,963,410"	"2,983,447"	"3,002,172"	"3,020,189"	"3,037,166"	"3,051,166"	"3,069,687"	"3,084,316"	"3,101,479"	"3,121,333"	"3,142,549"	"3,164,529"	"3,188,250"	"3,204,816"	"3,224,046"	"3,248,835"	"3,266,904"	"3,285,897"	"3,301,770"	"3,327,226"	"3,345,155"	"3,361,504"	"3,383,116"	"3,397,868"	"3,421,691"	"3,443,476"	"3,464,465"	"3,484,933"	"3,497,475"	"3,525,521"	"3,543,867"	"3,570,277"	"3,590,803"	"3,616,753"	"3,639,867"	"3,657,699"	"3,681,288"	"3,704,865"	"3,725,220"	"3,747,125"	"3,769,156"	"3,797,842"	"3,822,499"	"3,851,999"	"3,881,177"	"3,906,775"	"3,935,966"	"3,961,859"	"3,980,306"	"4,008,000"	"4,035,652"	"4,077,351"	"4,126,595"	"4,162,444"	"4,189,897"	"4,221,441"	"4,264,055"	"4,303,873"	"4,353,092"	"4,399,794"	"4,455,968"	"4,539,647"	"4,611,489"	"4,673,767"	"4,749,257"	"4,841,395"	"4,928,398"	"5,015,424"	"5,128,825"	"5,243,712"	"5,425,872"	"5,645,631"	"5,921,952"	"6,436,656"
Agricultural Economics	"1,366,684"	"1,486,828"	"1,542,768"	"1,601,297"	"1,643,005"	"1,675,082"	"1,714,774"	"1,753,361"	"1,778,601"	"1,821,676"	"1,851,363"	"1,877,505"	"1,891,576"	"1,919,064"	"1,939,774"	"1,959,039"	"1,979,983"	"1,997,973"	"2,020,598"	"2,040,294"	"2,055,964"	"2,077,319"	"2,096,151"	"2,112,560"	"2,135,280"	"2,153,531"	"2,169,457"	"2,184,985"	"2,202,756"	"2,217,526"	"2,235,277"	"2,247,591"	"2,268,606"	"2,286,089"	"2,298,290"	"2,314,938"	"2,328,805"	"2,345,265"	"2,364,656"	"2,380,315"	"2,400,362"	"2,414,975"	"2,428,737"	"2,445,121"	"2,458,998"	"2,479,966"	"2,499,055"	"2,513,442"	"2,528,621"	"2,541,548"	"2,563,437"	"2,577,543"	"2,596,446"	"2,607,877"	"2,622,644"	"2,640,452"	"2,664,087"	"2,680,000"	"2,706,052"	"2,725,539"	"2,741,344"	"2,755,878"	"2,772,653"	"2,787,169"	"2,809,985"	"2,827,199"	"2,855,586"	"2,875,217"	"2,899,771"	"2,926,974"	"2,947,837"	"2,975,752"	"2,992,784"	"3,016,880"	"3,043,933"	"3,072,492"	"3,107,265"	"3,127,804"	"3,159,506"	"3,196,638"	"3,225,255"	"3,266,041"	"3,301,765"	"3,343,569"	"3,389,710"	"3,439,990"	"3,482,175"	"3,538,083"	"3,593,688"	"3,673,734"	"3,725,428"	"3,796,438"	"3,891,810"	"3,992,578"	"4,114,154"	"4,262,899"	"4,443,912"	"4,719,318"	"5,134,187"
Agriculture	"1,182,853"	"1,301,391"	"1,338,839"	"1,373,441"	"1,402,891"	"1,438,948"	"1,462,503"	"1,492,247"	"1,515,926"	"1,539,861"	"1,567,476"	"1,587,829"	"1,604,621"	"1,622,827"	"1,641,321"	"1,658,875"	"1,679,503"	"1,695,781"	"1,709,707"	"1,727,448"	"1,742,036"	"1,761,627"	"1,774,499"	"1,787,226"	"1,799,249"	"1,811,762"	"1,827,264"	"1,848,463"	"1,865,445"	"1,878,612"	"1,895,059"	"1,911,012"	"1,924,589"	"1,936,240"	"1,954,022"	"1,968,966"	"1,980,149"	"1,994,282"	"2,011,988"	"2,026,138"	"2,034,375"	"2,050,011"	"2,068,551"	"2,079,386"	"2,093,957"	"2,106,355"	"2,117,605"	"2,130,192"	"2,146,500"	"2,157,561"	"2,174,168"	"2,187,647"	"2,199,235"	"2,212,715"	"2,224,972"	"2,239,509"	"2,256,773"	"2,273,623"	"2,288,582"	"2,306,685"	"2,323,067"	"2,338,407"	"2,356,163"	"2,371,497"	"2,392,441"	"2,409,726"	"2,431,118"	"2,455,208"	"2,471,622"	"2,485,231"	"2,504,597"	"2,528,798"	"2,551,236"	"2,579,810"	"2,605,541"	"2,632,581"	"2,657,824"	"2,688,359"	"2,711,516"	"2,744,356"	"2,765,519"	"2,796,528"	"2,824,793"	"2,874,596"	"2,900,388"	"2,952,634"	"2,996,112"	"3,045,265"	"3,090,863"	"3,150,593"	"3,208,548"	"3,259,245"	"3,321,220"	"3,385,536"	"3,482,166"	"3,604,088"	"3,745,533"	"3,953,031"	"4,211,954"
Animal Science	"1,140,082"	"1,210,574"	"1,280,512"	"1,320,816"	"1,357,829"	"1,390,079"	"1,425,986"	"1,456,143"	"1,485,879"	"1,509,091"	"1,530,628"	"1,558,098"	"1,572,341"	"1,590,497"	"1,611,055"	"1,629,162"	"1,649,445"	"1,667,495"	"1,684,385"	"1,700,617"	"1,716,224"	"1,730,794"	"1,744,115"	"1,758,220"	"1,771,213"	"1,785,665"	"1,804,292"	"1,817,956"	"1,827,161"	"1,846,876"	"1,861,412"	"1,870,235"	"1,880,449"	"1,894,591"	"1,904,826"	"1,921,529"	"1,937,922"	"1,952,031"	"1,963,191"	"1,978,249"	"1,991,107"	"2,003,151"	"2,019,566"	"2,037,353"	"2,048,717"	"2,064,886"	"2,078,742"	"2,093,575"	"2,105,181"	"2,123,719"	"2,137,270"	"2,153,158"	"2,167,721"	"2,185,612"	"2,198,819"	"2,209,984"	"2,222,711"	"2,241,242"	"2,253,038"	"2,266,132"	"2,281,002"	"2,298,657"	"2,316,000"	"2,332,659"	"2,352,278"	"2,373,077"	"2,396,558"	"2,415,211"	"2,438,353"	"2,455,757"	"2,480,466"	"2,508,489"	"2,530,800"	"2,557,389"	"2,584,757"	"2,607,869"	"2,633,838"	"2,663,814"	"2,688,447"	"2,716,348"	"2,740,331"	"2,773,816"	"2,802,823"	"2,824,065"	"2,870,662"	"2,917,686"	"2,962,344"	"2,999,630"	"3,056,214"	"3,102,362"	"3,161,922"	"3,227,042"	"3,297,619"	"3,373,605"	"3,452,257"	"3,545,386"	"3,727,968"	"3,982,248"	"4,290,170"
Anthropology/Archeology	"1,035,879"	"1,108,218"	"1,181,147"	"1,226,503"	"1,271,473"	"1,300,770"	"1,327,841"	"1,365,201"	"1,396,906"	"1,422,447"	"1,439,082"	"1,467,948"	"1,486,181"	"1,505,390"	"1,521,609"	"1,535,280"	"1,549,388"	"1,569,493"	"1,590,069"	"1,606,404"	"1,625,168"	"1,639,075"	"1,657,117"	"1,676,287"	"1,697,268"	"1,710,658"	"1,727,060"	"1,741,701"	"1,755,040"	"1,765,291"	"1,782,963"	"1,800,801"	"1,811,865"	"1,825,240"	"1,843,385"	"1,857,043"	"1,869,436"	"1,887,647"	"1,904,314"	"1,916,686"	"1,930,666"	"1,947,597"	"1,966,670"	"1,978,714"	"1,993,883"	"2,006,621"	"2,021,188"	"2,037,481"	"2,051,443"	"2,066,143"	"2,083,720"	"2,097,738"	"2,109,376"	"2,124,884"	"2,141,645"	"2,161,836"	"2,173,186"	"2,186,675"	"2,205,247"	"2,222,711"	"2,237,828"	"2,251,575"	"2,267,300"	"2,289,575"	"2,305,673"	"2,320,618"	"2,339,587"	"2,358,996"	"2,382,536"	"2,399,363"	"2,420,291"	"2,446,427"	"2,465,761"	"2,484,484"	"2,523,626"	"2,547,876"	"2,575,568"	"2,607,034"	"2,640,096"	"2,686,854"	"2,718,260"	"2,755,961"	"2,786,576"	"2,827,336"	"2,869,922"	"2,912,016"	"2,951,144"	"3,000,224"	"3,053,837"	"3,103,040"	"3,195,403"	"3,269,159"	"3,360,443"	"3,447,767"	"3,534,998"	"3,667,815"	"3,857,826"	"4,055,466"	"4,533,731"
Architecture	"1,405,172"	"1,502,214"	"1,566,358"	"1,616,406"	"1,670,584"	"1,715,366"	"1,761,608"	"1,796,625"	"1,821,166"	"1,842,724"	"1,872,659"	"1,902,432"	"1,924,389"	"1,951,022"	"1,971,910"	"1,990,889"	"2,011,011"	"2,034,894"	"2,049,001"	"2,064,988"	"2,082,420"	"2,095,379"	"2,118,716"	"2,131,901"	"2,145,076"	"2,159,440"	"2,178,012"	"2,195,597"	"2,212,524"	"2,226,423"	"2,243,571"	"2,259,711"	"2,280,694"	"2,296,496"	"2,312,967"	"2,327,936"	"2,343,414"	"2,365,056"	"2,382,513"	"2,401,354"	"2,418,488"	"2,440,570"	"2,454,842"	"2,470,190"	"2,486,426"	"2,501,749"	"2,517,233"	"2,540,353"	"2,555,404"	"2,575,749"	"2,600,265"	"2,618,524"	"2,634,350"	"2,651,384"	"2,674,305"	"2,698,019"	"2,717,327"	"2,741,528"	"2,759,150"	"2,786,423"	"2,805,331"	"2,829,568"	"2,850,584"	"2,870,353"	"2,889,656"	"2,913,110"	"2,932,705"	"2,946,952"	"2,978,011"	"3,010,195"	"3,034,682"	"3,062,620"	"3,089,175"	"3,109,637"	"3,146,028"	"3,182,669"	"3,211,292"	"3,245,878"	"3,281,658"	"3,318,590"	"3,340,261"	"3,372,961"	"3,403,010"	"3,443,439"	"3,483,201"	"3,522,809"	"3,563,644"	"3,611,365"	"3,666,314"	"3,725,183"	"3,789,128"	"3,857,466"	"3,937,563"	"4,036,106"	"4,145,434"	"4,284,085"	"4,477,887"	"4,685,283"	"5,005,596"
Area/Ethnic Studies	"1,085,852"	"1,191,504"	"1,282,530"	"1,334,004"	"1,375,120"	"1,420,781"	"1,459,578"	"1,492,381"	"1,526,155"	"1,552,479"	"1,577,232"	"1,592,831"	"1,618,869"	"1,637,012"	"1,668,222"	"1,688,642"	"1,711,878"	"1,732,067"	"1,748,930"	"1,772,817"	"1,791,831"	"1,806,721"	"1,824,552"	"1,842,396"	"1,863,687"	"1,878,119"	"1,898,388"	"1,917,914"	"1,931,465"	"1,943,986"	"1,958,560"	"1,980,578"	"1,993,149"	"2,005,820"	"2,021,707"	"2,043,319"	"2,060,823"	"2,076,323"	"2,094,009"	"2,111,160"	"2,130,592"	"2,147,043"	"2,163,524"	"2,181,921"	"2,202,614"	"2,217,654"	"2,236,748"	"2,258,769"	"2,276,959"	"2,300,452"	"2,319,872"	"2,341,110"	"2,358,322"	"2,377,274"	"2,399,417"	"2,426,690"	"2,449,378"	"2,470,148"	"2,486,287"	"2,501,884"	"2,533,153"	"2,551,970"	"2,571,357"	"2,598,321"	"2,618,980"	"2,643,962"	"2,674,972"	"2,701,758"	"2,737,726"	"2,766,258"	"2,799,666"	"2,826,035"	"2,853,362"	"2,888,209"	"2,913,227"	"2,960,821"	"3,000,152"	"3,028,436"	"3,066,798"	"3,107,466"	"3,141,631"	"3,195,071"	"3,247,613"	"3,305,404"	"3,348,128"	"3,392,287"	"3,444,833"	"3,507,571"	"3,557,398"	"3,650,147"	"3,736,873"	"3,829,103"	"3,934,624"	"4,048,150"	"4,193,168"	"4,374,865"	"4,591,810"	"4,959,667"	"5,715,867"
Art History	"1,065,321"	"1,178,875"	"1,233,234"	"1,292,432"	"1,335,365"	"1,379,739"	"1,416,923"	"1,452,120"	"1,484,287"	"1,514,394"	"1,543,240"	"1,567,184"	"1,590,313"	"1,612,223"	"1,627,476"	"1,648,304"	"1,671,921"	"1,690,144"	"1,706,617"	"1,721,916"	"1,739,745"	"1,760,398"	"1,783,022"	"1,801,309"	"1,817,366"	"1,836,501"	"1,851,966"	"1,872,717"	"1,887,453"	"1,908,249"	"1,923,645"	"1,944,728"	"1,960,960"	"1,978,569"	"2,000,844"	"2,016,711"	"2,034,602"	"2,056,063"	"2,075,987"	"2,099,248"	"2,116,345"	"2,133,634"	"2,149,608"	"2,167,138"	"2,182,130"	"2,202,511"	"2,224,238"	"2,239,918"	"2,265,810"	"2,289,580"	"2,308,570"	"2,328,107"	"2,349,047"	"2,369,658"	"2,389,154"	"2,413,117"	"2,443,371"	"2,461,195"	"2,485,560"	"2,505,774"	"2,525,399"	"2,550,611"	"2,576,483"	"2,603,760"	"2,631,211"	"2,651,896"	"2,671,939"	"2,700,179"	"2,736,446"	"2,766,582"	"2,790,721"	"2,814,720"	"2,845,350"	"2,878,689"	"2,919,564"	"2,955,480"	"2,983,313"	"3,021,534"	"3,055,384"	"3,088,691"	"3,138,341"	"3,179,975"	"3,221,228"	"3,261,748"	"3,310,252"	"3,370,688"	"3,434,950"	"3,504,113"	"3,567,702"	"3,634,099"	"3,707,249"	"3,796,799"	"3,897,072"	"4,008,454"	"4,167,910"	"4,357,966"	"4,557,344"	"4,906,960"	"5,469,349"
