food_code,food_code_description,category_number,category_description
11000000,"Milk, human",9602,Human milk
11100000,"Milk, NFS",1004,"Milk, reduced fat"
11111000,"Milk, whole",1002,"Milk, whole"
11111100,"Milk, low sodium, whole",1002,"Milk, whole"
11111150,"Milk, calcium fortified, whole",1002,"Milk, whole"
11111160,"Milk, calcium fortified, low fat (1%)",1006,"Milk, lowfat"
11111170,"Milk, calcium fortified, fat free (skim)",1008,"Milk, nonfat"
11112110,"Milk, reduced fat (2%)",1004,"Milk, reduced fat"
11112120,"Milk, acidophilus, low fat (1%)",1006,"Milk, lowfat"
11112130,"Milk, acidophilus, reduced fat (2%)",1004,"Milk, reduced fat"
11112210,"Milk, low fat (1%)",1006,"Milk, lowfat"
11113000,"Milk, fat free (skim)",1008,"Milk, nonfat"
11114300,"Milk, lactose free, low fat (1%)",1006,"Milk, lowfat"
11114320,"Milk, lactose free, fat free (skim)",1008,"Milk, nonfat"
11114330,"Milk, lactose free, reduced fat (2%)",1004,"Milk, reduced fat"
11114350,"Milk, lactose free, whole",1002,"Milk, whole"
11115000,"Buttermilk, fat free (skim)",1008,"Milk, nonfat"
11115100,"Buttermilk, low fat (1%)",1006,"Milk, lowfat"
11115200,"Buttermilk, reduced fat (2%)",1004,"Milk, reduced fat"
11115300,"Buttermilk, whole",1002,"Milk, whole"
11115400,"Kefir, NS as to fat content",1006,"Milk, lowfat"
11116000,"Goat's milk, whole",1002,"Milk, whole"
11120000,"Milk, dry, reconstituted, NS as to fat content",1008,"Milk, nonfat"
11121100,"Milk, dry, reconstituted, whole",1002,"Milk, whole"
11121210,"Milk, dry, reconstituted, low fat (1%)",1006,"Milk, lowfat"
11121300,"Milk, dry, reconstituted, fat free (skim)",1008,"Milk, nonfat"
11210050,"Milk, evaporated, NS as to fat content",1002,"Milk, whole"
11211050,"Milk, evaporated, whole",1002,"Milk, whole"
11211400,"Milk, evaporated, reduced fat (2%)",1004,"Milk, reduced fat"
11212050,"Milk, evaporated, fat free (skim)",1008,"Milk, nonfat"
11220000,"Milk, condensed, sweetened",1202,"Flavored milk, whole"
11300100,"Non-dairy milk, NFS",1404,Milk substitutes
11320000,Soy milk,1404,Milk substitutes
11320100,"Soy milk, light",1404,Milk substitutes
11320200,"Soy milk, nonfat",1404,Milk substitutes
11321000,"Soy milk, chocolate",1404,Milk substitutes
11321100,"Soy milk, light, chocolate",1404,Milk substitutes
11321200,"Soy milk, nonfat, chocolate",1404,Milk substitutes
11350000,"Almond milk, sweetened",1404,Milk substitutes
11350010,"Almond milk, sweetened, chocolate",1404,Milk substitutes
11350020,"Almond milk, unsweetened",1404,Milk substitutes
11350030,"Almond milk, unsweetened, chocolate",1404,Milk substitutes
11360000,Rice milk,1404,Milk substitutes
11370000,Coconut milk,1404,Milk substitutes
11400000,"Yogurt, NFS",1820,"Yogurt, regular"
11400010,"Yogurt, Greek, NS as to type of milk or flavor",1822,"Yogurt, Greek"
11410000,"Yogurt, NS as to type of milk or flavor",1820,"Yogurt, regular"
11411010,"Yogurt, NS as to type of milk, plain",1820,"Yogurt, regular"
11411100,"Yogurt, whole milk, plain",1820,"Yogurt, regular"
11411200,"Yogurt, low fat milk, plain",1820,"Yogurt, regular"
11411300,"Yogurt, nonfat milk, plain",1820,"Yogurt, regular"
11411390,"Yogurt, Greek, NS as to type of milk, plain",1822,"Yogurt, Greek"
11411400,"Yogurt, Greek, whole milk, plain",1822,"Yogurt, Greek"
11411410,"Yogurt, Greek, low fat milk, plain",1822,"Yogurt, Greek"
11411420,"Yogurt, Greek, nonfat milk, plain",1822,"Yogurt, Greek"
11430000,"Yogurt, NS as to type of milk, fruit",1820,"Yogurt, regular"
11431000,"Yogurt, whole milk, fruit",1820,"Yogurt, regular"
11432000,"Yogurt, low fat milk, fruit",1820,"Yogurt, regular"
11433000,"Yogurt, nonfat milk, fruit",1820,"Yogurt, regular"
11433990,"Yogurt, Greek, NS as to type of milk, fruit",1822,"Yogurt, Greek"
11434000,"Yogurt, Greek, whole milk, fruit",1822,"Yogurt, Greek"
11434010,"Yogurt, Greek, low fat milk, fruit",1822,"Yogurt, Greek"
11434020,"Yogurt, Greek, nonfat milk, fruit",1822,"Yogurt, Greek"
11434090,"Yogurt, NS as to type of milk, flavors other than fruit",1820,"Yogurt, regular"
11434100,"Yogurt, whole milk, flavors other than fruit",1820,"Yogurt, regular"
11434200,"Yogurt, low fat milk, flavors other than fruit",1820,"Yogurt, regular"
11434300,"Yogurt, nonfat milk, flavors other than fruit",1820,"Yogurt, regular"
11435000,"Yogurt, Greek, NS as to type of milk, flavors other than fruit",1822,"Yogurt, Greek"
11435010,"Yogurt, Greek, whole milk, flavors other than fruit",1822,"Yogurt, Greek"
11435020,"Yogurt, Greek, low fat milk, flavors other than fruit",1822,"Yogurt, Greek"
11435030,"Yogurt, Greek, nonfat milk, flavors other than fruit",1822,"Yogurt, Greek"
11435100,"Yogurt, Greek, with oats",1822,"Yogurt, Greek"
11436000,"Yogurt, liquid",1820,"Yogurt, regular"
11440010,"Chipotle dip, yogurt based",8412,"Dips, gravies, other sauces"
11440020,"Dill dip, yogurt based",8412,"Dips, gravies, other sauces"
11440030,"Onion dip, yogurt based",8412,"Dips, gravies, other sauces"
11440040,"Ranch dip, yogurt based",8412,"Dips, gravies, other sauces"
11440050,"Spinach dip, yogurt based",8412,"Dips, gravies, other sauces"
11440060,Tzatziki dip,8412,"Dips, gravies, other sauces"
11440070,"Vegetable dip, yogurt based",8412,"Dips, gravies, other sauces"
11446000,"Yogurt parfait, low fat, with fruit",1820,"Yogurt, regular"
11459990,"Frozen yogurt, NFS",5802,Ice cream and frozen dairy desserts
11460000,"Frozen yogurt, vanilla",5802,Ice cream and frozen dairy desserts
11460100,"Frozen yogurt, chocolate",5802,Ice cream and frozen dairy desserts
11460500,"Frozen yogurt, soft serve, vanilla",5802,Ice cream and frozen dairy desserts
11460510,"Frozen yogurt, soft serve, chocolate",5802,Ice cream and frozen dairy desserts
11461200,Frozen yogurt sandwich,5802,Ice cream and frozen dairy desserts
11461210,"Frozen yogurt bar, vanilla",5802,Ice cream and frozen dairy desserts
11461220,"Frozen yogurt bar, chocolate",5802,Ice cream and frozen dairy desserts
11461250,"Frozen yogurt cone, chocolate",5802,Ice cream and frozen dairy desserts
11461260,"Frozen yogurt cone, vanilla",5802,Ice cream and frozen dairy desserts
11461300,"Frozen yogurt cone, vanilla, waffle cone",5802,Ice cream and frozen dairy desserts
11461320,"Frozen yogurt cone, chocolate, waffle cone",5802,Ice cream and frozen dairy desserts
11480000,"Baby Toddler food, NFS",9007,Baby food: mixtures
11480010,"Baby Toddler yogurt, plain",9010,Baby food: yogurt
11480020,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, NFS",9010,Baby food: yogurt
11480030,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus iron",9010,Baby food: yogurt
11480040,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus DHA",9010,Baby food: yogurt
11480100,"Baby Toddler yogurt, with fruit",9010,Baby food: yogurt
11511000,"Chocolate milk, NFS",1208,"Flavored milk, nonfat"
11511100,"Chocolate milk, ready to drink, whole",1202,"Flavored milk, whole"
11511200,"Chocolate milk, ready to drink, reduced fat",1204,"Flavored milk, reduced fat"
11511300,"Chocolate milk, ready to drink, fat free",1208,"Flavored milk, nonfat"
11511400,"Chocolate milk, ready to drink, low fat",1206,"Flavored milk, lowfat"
